year,TA2.30,TA5.30,TA3.30,TA1.30,TA7.30,TA9.30,TA10.30,TA11.30,TA6.30,TA4.30,TA8.30,TM8.30,TM3.30,TM2.30,TM1.30,TM5.30,TM4.30,TM6.30,TM7.30,TM9.30,TM10.30,TM11.30,TM12.30
1901,1.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6455,NA,NA,NA,NA,NA,NA,NA,NA
1902,1.141,NA,NA,NA,NA,NA,NA,NA,1.35,NA,NA,NA,NA,NA,0.6855,NA,NA,NA,NA,NA,NA,NA,NA
1903,1.443,NA,NA,NA,NA,NA,NA,NA,0.589,NA,NA,NA,NA,NA,0.6875,NA,NA,NA,NA,NA,NA,NA,NA
1904,1.1175,NA,NA,0.429,NA,NA,NA,NA,0.914,NA,NA,NA,NA,NA,0.5235,NA,NA,NA,NA,NA,NA,NA,NA
1905,2.051,NA,NA,0.518,NA,NA,NA,NA,1.544,NA,NA,NA,NA,NA,0.675,NA,NA,NA,NA,NA,NA,NA,NA
1906,2.0455,NA,NA,0.867,NA,NA,NA,NA,1.412,NA,NA,0.787,0.496,NA,0.858,NA,NA,0.8525,NA,NA,NA,NA,NA
1907,1.62,NA,NA,1.215,NA,NA,NA,NA,1.529,NA,NA,1.9545,1.131,NA,1.3595,NA,NA,0.9525,NA,NA,NA,0.722,0.7915
1908,1.96,NA,NA,1.52,NA,NA,NA,NA,1.949,NA,NA,1.961,2.1385,NA,1.591,NA,NA,1.4905,NA,NA,1.526,0.9095,2.207
1909,1.965,NA,NA,2.204,NA,NA,NA,NA,2.057,NA,NA,1.402,1.2455,2.0965,1.432,NA,NA,1.297,NA,1.5715,1.596,0.8355,1.943
1910,1.6305,NA,NA,1.555,NA,NA,NA,NA,1.498,NA,NA,0.9955,1.181,1.8965,1.4175,NA,1.629,1.313,NA,1.123,1.554,1.1785,1.6465
1911,1.331,NA,NA,0.882,NA,NA,NA,NA,1.182,NA,NA,0.516,0.674,1.3555,1.1955,NA,1.516,1.2805,NA,1.4835,1.417,1.578,1.337
1912,0.9125,NA,NA,0.581,NA,NA,NA,NA,0.714,NA,2.608,0.9925,0.56,2.4755,1.0235,NA,0.742,0.758,NA,0.9025,0.88,1.204,0.8915
1913,1.298,NA,NA,0.665,NA,NA,NA,NA,1.232,NA,1.036,1.032,0.486,1.5805,0.8805,NA,0.885,0.7325,NA,0.3525,0.894,1.0555,0.7765
1914,1.933,NA,NA,1.033,NA,1.606,NA,NA,1.26,NA,1.694,1.192,0.73,1.39,1.5065,NA,1.409,1.0495,NA,0.579,1.7165,1.496,1.195
1915,1.246,NA,NA,1.119,2.487,1.167,NA,NA,1.199,NA,1.898,0.732,0.972,2.0105,1.8415,NA,1.293,1.284,NA,0.8525,1.925,1.852,1.404
1916,1.182,NA,NA,0.842,1.925,0.741,NA,NA,0.838,NA,1.541,0.3685,0.762,2.0325,1.3205,NA,1.1675,1.232,NA,1.0075,1.647,1.3875,0.9415
1917,0.9015,NA,NA,1.269,2.195,1.123,NA,NA,1.006,NA,1.524,0.047,0.994,1.3315,1.5325,NA,1.4215,1.182,NA,0.8195,1.4365,1.009,1.2585
1918,0.4425,NA,NA,0.508,1.837,0.992,NA,NA,0.798,NA,0.993,0.0635,0.4885,1.0195,0.8935,NA,0.746,0.3005,NA,0.7535,1.078,0.7525,0.6575
1919,1.0185,NA,NA,0.668,1.134,1.189,NA,NA,0.96,NA,0.499,0.251,0.2125,0.6485,0.8435,NA,0.734,0.2065,NA,0.2845,0.387,0.596,0.4155
1920,1.2165,NA,1.426,0.565,1.534,0.867,NA,NA,0.395,NA,0.7365,0.2165,0.5615,0.649,0.9815,NA,0.789,0.5405,NA,0.6145,1.326,1.0105,0.485
1921,1.073,NA,1.06,0.444,1.178,0.869,NA,NA,0.539,NA,1.1315,0.2035,0.466,0.991,0.566,NA,0.6025,0.521,NA,0.3925,0.963,0.5655,0.592
1922,0.935,NA,1.296,0.628,1.314,0.52,NA,NA,0.483,NA,1.1225,0.2005,0.3895,0.834,0.9515,NA,0.7035,0.441,NA,0.272,0.6565,0.803,0.3505
1923,0.761,NA,1.114,0.416,1.438,0.607,NA,NA,0.345,NA,0.8195,0.052,0.2735,0.6865,0.582,NA,0.4875,0.524,NA,0.315,0.5325,0.985,0.38
1924,0.419,NA,1.017,0.387,1.394,0.847,NA,NA,0.215,NA,0.591,0.363,0.231,0.8575,0.449,NA,0.34,0.3075,NA,0.179,0.688,0.627,0.336
1925,0.3305,NA,0.643,0.056,0.93,0.629,NA,NA,0.161,NA,0.4465,0.561,0.209,0.314,0.131,NA,0.115,0.2985,NA,0.095,0.4735,0.55,0.2985
1926,0.3535,NA,1.155,0.211,0.993,0.374,NA,NA,0.301,NA,0.4835,0.285,0.2945,0.267,0.3295,NA,0.359,0.2565,NA,0.3415,0.3985,1.103,0.342
1927,0.52,NA,1.021,0.352,0.99,0.567,NA,NA,0.524,NA,0.7605,0.464,0.2735,0.486,0.477,NA,0.365,0.359,NA,0.298,0.234,1.1285,0.3365
1928,0.59,NA,0.579,0.24,1.241,0.776,NA,NA,0.456,NA,0.424,0.609,0.17,0.548,0.2855,NA,0.162,0.119,NA,0.352,0.6355,0.379,0.3645
1929,0.4845,NA,0.496,0.282,1.25,0.534,NA,NA,0.495,NA,0.456,0.3995,0.2425,0.6685,0.2585,NA,0.341,0.219,NA,0.276,0.7705,0.2625,0.3565
1930,0.674,NA,0.989,0.339,1.628,0.651,NA,0.544,0.474,NA,0.789,0.4605,0.3465,0.906,0.3225,NA,0.256,0.337,NA,0.455,0.7325,0.695,0.4055
1931,0.59,NA,0.953,0.275,1.495,0.532,NA,0.496,0.555,NA,0.592,0.946,0.2635,0.7205,0.2975,NA,0.232,0.391,1.0055,0.294,0.5955,0.6215,0.331
1932,0.742,NA,1.079,0.508,1.156,0.812,0.859,0.55,0.585,NA,0.7205,0.8615,0.414,1.13,0.3625,NA,0.48,0.4375,1.511,0.364,0.2305,0.8545,0.4345
1933,0.816,NA,1.869,0.451,1.793,0.527,0.995,0.292,0.417,NA,1.0945,1.0765,0.3755,0.7255,0.6295,NA,0.6635,0.3465,1.6905,0.5525,0.958,0.862,0.436
1934,0.937,NA,1.408,0.395,1.808,0.521,0.751,0.339,0.564,NA,1.4215,1.3165,0.1755,0.657,0.413,NA,0.475,0.271,1.06,0.3515,1.1065,0.6785,0.2835
1935,0.987,NA,1.828,0.543,1.808,0.6,1.103,0.398,0.7,0.926,1.8065,0.934,0.4195,0.835,0.471,NA,0.698,0.403,1.9215,0.3445,1.254,0.881,0.456
1936,1.8675,NA,1.878,0.663,1.632,0.604,1.311,0.805,0.767,1.212,2.3485,1.005,0.4085,0.944,0.7515,NA,0.6445,0.5715,1.6765,0.4075,1.2775,0.8995,0.451
1937,1.5635,NA,1.529,0.564,1.728,0.647,1.057,0.923,0.802,1.166,1.5735,1.181,0.24,0.7135,0.556,NA,0.5405,0.5005,2.049,0.4685,1.4015,0.7345,0.4235
1938,1.81,NA,1.367,0.578,1.872,0.622,1.295,0.654,0.931,0.939,1.6135,0.789,0.3265,0.8965,0.5905,NA,0.602,0.5045,1.778,0.5385,1.7895,0.77,0.416
1939,1.1725,NA,1.399,0.564,2.038,0.838,1.682,0.71,0.579,0.918,1.93,0.734,0.3235,1.398,0.758,NA,0.621,0.64,2.167,0.65,1.9495,0.9855,0.533
1940,1.1675,NA,1.255,0.437,1.793,0.8,1.423,0.773,0.585,0.737,1.753,0.9435,0.2185,1.041,0.6865,NA,0.546,0.396,1.4865,0.5285,1.5025,0.729,0.3835
1941,0.863,NA,1.07,0.36,1.052,0.621,0.973,0.744,0.444,0.8135,1.374,0.814,0.5075,0.724,0.6575,NA,0.3895,0.329,1.5765,0.5655,0.9535,0.669,0.368
1942,0.8415,NA,0.974,0.543,0.721,0.632,1.227,0.954,0.385,0.5585,1.347,0.4055,0.6785,0.666,0.7355,NA,0.6335,0.4925,1.676,0.883,0.9735,0.743,0.3765
1943,1.3105,NA,1.433,0.684,0.862,0.674,0.764,1.18,0.758,0.652,1.6095,0.5975,0.5725,0.803,0.695,NA,0.8095,0.2675,1.3195,0.4785,0.614,0.689,0.3175
1944,2.452,NA,1.424,0.741,0.873,0.539,0.696,1.021,0.618,0.791,1.7625,0.9875,0.759,0.849,0.8235,1.0795,0.8,0.403,1.355,0.4775,0.6465,0.486,0.2735
1945,1.8,NA,1.694,0.677,1.475,0.629,0.741,0.619,0.865,0.7835,1.208,1.7255,0.7545,0.692,0.73,1.1135,0.7135,0.2965,1.647,0.653,0.637,0.359,0.2525
1946,1.7415,NA,1.902,0.487,1.532,0.681,0.762,0.863,0.854,0.785,1.4035,0.14,0.625,0.716,0.773,2.2525,0.5285,0.421,1.584,0.767,0.739,0.4105,0.351
1947,1.7075,NA,1.49,0.727,1.291,0.828,0.933,0.531,1.044,0.698,1.4715,0.9105,0.565,0.6425,0.711,1.2915,0.397,0.3755,1.2445,0.5025,0.816,0.433,0.4085
1948,0.919,NA,1.902,0.614,1.747,1.109,1.244,0.861,1.12,0.9315,1.5815,0.8205,0.877,0.8175,0.9265,1.8385,0.825,0.696,1.8825,0.826,0.8965,0.7965,0.4075
1949,0.094,NA,1.037,0.367,0.951,0.453,0.725,0.043,0.422,0.57,1.1295,0.8625,0.4945,0.62,0.4425,1.0165,0.3885,0.2695,1.366,0.3415,0.6,0.4725,0.2645
1950,1.2835,NA,2.142,0.451,1.05,0.788,0.885,0.63,0.746,0.725,1.794,1.54,0.702,0.805,0.678,1.924,0.479,0.515,1.3485,0.487,0.78,0.73,0.4475
1951,1.336,NA,1.125,0.254,0.583,0.336,0.317,0.548,0.561,0.432,1.365,0.7015,0.343,0.271,0.303,1.3645,0.306,0.3875,1.123,0.3345,0.386,0.35,0.247
1952,1.6145,NA,1.552,0.402,1.019,0.459,0.601,0.777,0.607,0.6235,1.0865,0.694,0.756,0.453,0.5375,1.027,0.4435,0.319,1.45,0.7015,0.594,0.525,0.415
1953,1.6315,NA,1.661,0.662,1.641,0.819,0.771,0.858,0.758,1.1685,1.3515,1.305,0.651,0.5395,0.7645,0.826,0.5785,0.539,1.732,0.8635,0.699,0.4575,0.4785
1954,1.031,NA,1.054,0.452,1.834,0.428,0.8,0.747,0.778,0.735,1.2905,0.713,0.7195,0.418,0.5235,1.064,0.231,0.462,1.454,0.8005,0.5945,0.6705,0.385
1955,1.017,NA,0.698,0.233,1.586,0.346,0.531,0.813,0.549,0.5345,1.2705,0.141,0.7025,0.5505,0.293,0.2975,0.403,0.465,1.035,0.508,0.328,0.6485,0.2685
1956,0.773,NA,0.985,0.317,1.138,0.209,0.714,1.054,0.676,0.359,1.5545,0.5005,0.6475,0.7585,0.238,0.764,0.3525,0.578,1.2635,0.6015,0.227,0.5835,0.1585
1957,1.213,NA,1.241,0.705,1.505,0.365,0.921,0.993,0.844,0.7425,1.6675,0.826,0.6515,0.932,0.603,1.379,0.5775,0.804,1.2,0.9495,0.6815,0.8615,0.3325
1958,1.194,NA,0.617,0.289,0.771,0.177,0.539,0.716,0.649,0.726,1.177,0.3245,0.3925,0.434,0.3205,0.781,0.26,0.4735,0.6875,0.4655,0.243,0.3835,0.2055
1959,1.093,NA,1.109,0.367,0.468,0.358,0.825,0.611,0.697,0.7915,1.219,0.2095,0.3915,0.368,0.385,0.704,0.1645,0.5675,0.2985,0.641,0.054,0.5475,0.3695
1960,1.389,NA,1.391,0.458,0.621,0.327,0.808,1.007,0.702,0.962,1.9095,0.504,0.6355,0.4865,0.5545,0.0965,0.374,0.717,0.9275,0.849,0.1315,0.529,0.321
1961,1.3535,NA,1.548,0.508,1.167,0.491,1.075,1.049,0.895,1.093,1.86,0.9735,0.753,0.732,0.67,0.409,0.5785,0.9575,1.1465,0.8095,0.38,0.713,0.3655
1962,2.0895,NA,1.321,0.289,0.709,0.301,0.593,1.066,0.789,0.8485,1.5945,0.4035,0.3865,0.4795,0.496,0.3135,0.338,0.4895,1.0135,0.601,0.1755,0.67,0.2015
1963,2.028,NA,0.835,0.176,0.748,0.362,0.444,0.872,0.541,0.873,1.126,0.2915,0.116,0.495,0.25,0.065,0.289,0.3505,0.6625,0.4475,0.1695,0.204,0.211
1964,1.739,NA,0.908,0.24,0.908,0.481,0.489,0.888,0.598,1.0755,1.236,0.238,0.273,0.5445,0.2125,0.265,0.257,0.5215,0.884,0.5865,0.2565,0.203,0.2725
1965,1.5545,NA,1.11,0.233,0.539,0.542,0.388,0.852,0.695,1.078,1.213,0.3625,0.2685,0.631,0.2275,0.358,0.318,0.2005,0.7935,0.546,0.177,0.175,0.192
1966,1.47,NA,1.358,0.402,0.822,0.729,0.454,0.72,1.078,1.4035,1.455,0.552,0.3495,0.538,0.4475,0.4265,0.6145,0.5895,1.065,0.8255,0.431,0.293,0.1995
1967,1.177,NA,0.87,0.414,0.71,0.553,0.653,0.681,0.853,1.058,1.0475,0.705,0.442,0.4585,0.492,0.4205,0.4015,0.523,0.9085,0.664,0.4415,0.2025,0.291
1968,0.699,NA,0.707,0.169,0.611,0.457,0.412,0.403,0.565,0.716,0.648,0.332,0.268,0.3365,0.2055,0.148,0.101,0.2665,0.517,0.3315,0.233,0.1385,0.1835
1969,0.2665,NA,0.429,0.035,0.148,0.371,0.117,0.208,0.191,0.3235,0.107,0.0555,0.0485,0.1765,0.0295,0.058,0.049,0.0435,0.1095,0.1005,0.1225,0.0495,0.0805
1970,0.5875,NA,0.344,0.106,0.263,0.342,0.148,0.186,0.401,0.703,0.246,0.1,0.0785,0.128,0.0995,0.0475,0.044,0.079,0.178,0.132,0.148,0.1625,0.1155
1971,1.0935,NA,0.567,0.381,0.475,0.62,0.341,0.355,0.656,1.033,0.786,0.3295,0.184,0.3465,0.2145,0.2815,0.1475,0.2655,0.586,0.3725,0.29,0.1365,0.1765
1972,1.2955,NA,0.879,0.48,0.981,0.669,0.611,0.517,0.846,1.0555,1.0275,0.575,0.1965,0.367,0.318,0.4285,0.292,0.4335,0.796,0.5265,0.424,0.0745,0.2625
1973,1.693,NA,1.229,0.569,0.757,0.726,0.616,0.383,0.908,1.0455,1.0815,0.817,0.2945,0.261,0.3395,0.511,0.2235,0.434,0.792,0.665,0.4875,0.101,0.2695
1974,1.4555,NA,1.064,0.331,1.135,0.581,0.485,0.404,0.762,1.0045,1.0345,0.482,0.1975,0.332,0.432,0.5165,0.272,0.449,0.7275,0.424,0.3635,0.0935,0.252
1975,1.173,0.252,1.058,0.541,1.193,0.438,0.571,0.508,0.503,1.0965,1.201,0.515,0.2305,0.307,0.51,0.5145,0.485,0.405,0.67,0.424,0.2465,0.1115,0.2145
1976,1.3365,0.207,1.295,0.514,1.573,0.397,0.552,0.536,0.508,1.071,1.1275,0.5425,0.225,0.336,0.531,0.465,0.394,0.618,0.736,0.3995,0.2295,0.1045,0.2025
1977,1.0835,0.767,1.065,0.339,1.03,0.543,0.66,0.5,0.535,1.1135,1.182,0.7055,0.206,0.397,0.3095,0.5075,0.3365,0.615,0.87,0.489,0.1965,0.0875,0.2985
1978,0.993,0.046,0.881,0.219,0.782,0.314,0.346,0.454,0.473,1.0615,0.86,0.451,0.153,0.292,0.2345,0.308,0.201,0.409,0.464,0.36,0.1915,0.086,0.151
1979,1.116,0.489,0.789,0.465,0.836,0.387,0.409,0.419,0.493,1.079,1.24,0.779,0.176,0.2745,0.4545,0.4605,0.259,0.7305,0.608,0.431,0.245,0.0555,0.235
1980,1.19,0.303,0.997,0.437,1.19,0.463,0.571,0.577,0.775,1.4595,1.3275,0.969,0.238,0.2365,0.3715,0.546,0.332,0.881,0.742,0.4465,0.257,0.06,0.378
1981,1.176,0.646,1.069,0.473,0.959,0.681,0.551,0.713,0.811,1.2845,1.182,1.0675,0.2155,0.312,0.5295,0.566,0.427,0.7865,0.721,0.5805,0.324,0.076,0.4205
1982,1.0415,0.711,1.091,0.487,1.11,0.725,0.383,0.767,0.828,1.513,1.2285,0.702,0.1765,0.3145,0.45,0.5325,0.416,0.6415,0.592,0.341,0.259,0.058,0.288
1983,1.252,0.511,0.798,0.536,0.999,0.516,0.423,0.482,0.741,1.0535,1.017,0.7705,0.2095,0.219,0.38,0.4115,0.2605,0.685,0.409,0.321,0.2235,0.055,0.289
1984,1.2285,0.823,1.31,0.599,1.079,0.798,0.626,0.824,0.868,1.5185,1.5425,1.1625,0.17,0.354,0.536,0.556,0.5635,0.899,0.7525,0.4385,0.401,0.063,0.401
1985,0.915,1.043,0.952,0.487,0.979,0.526,0.325,0.733,0.74,1.394,1.262,1.043,0.1335,0.2475,0.2315,0.5075,0.3865,0.861,0.4545,0.46,0.226,0.0425,0.228
1986,1.238,0.668,0.734,0.353,0.628,0.614,0.353,0.454,0.952,1.4885,1.26,0.8615,0.165,0.2855,0.31,0.363,0.4395,0.5365,0.504,0.479,0.2415,0.045,0.324
1987,1.041,0.628,0.696,0.198,0.556,0.412,0.197,0.365,0.614,0.891,0.7035,0.3365,0.1595,0.1465,0.19,0.1995,0.1775,0.373,0.258,0.303,0.1005,0.0435,0.2775
1988,0.9235,0.324,0.535,0.205,0.455,0.279,0.177,0.467,0.464,0.9095,0.5235,0.2545,0.1595,0.172,0.1275,0.2645,0.147,0.181,0.2295,0.2205,0.1045,0.038,0.2165
1989,1.005,0.254,0.508,0.197,0.39,0.267,0.247,0.435,0.677,0.8865,0.9205,0.2475,0.1695,0.1355,0.1705,0.2755,0.1305,0.221,0.3195,0.25,0.1005,NA,0.265
1990,1.0355,0.374,0.529,0.36,0.636,0.622,0.436,0.674,0.614,1.4705,0.702,0.3435,0.1685,0.2315,0.2565,0.3565,0.266,0.5715,0.4865,0.251,0.1755,NA,0.4045
1991,0.883,0.43,0.45,0.769,0.689,0.467,0.247,0.464,0.824,1.137,0.5835,0.3535,0.14,0.0915,0.1075,0.3305,0.134,0.4175,0.1475,0.1305,0.0995,NA,0.2505
1992,0.972,0.529,0.635,0.339,0.767,0.877,0.621,0.634,0.565,1.4785,0.795,0.954,0.221,0.2115,0.4165,0.5495,0.2695,0.657,0.404,0.306,0.132,NA,0.47
1993,1.0445,0.324,0.529,0.536,0.602,0.563,0.338,0.575,0.584,1.279,0.778,0.3765,0.1925,0.218,0.2295,0.4565,0.2665,0.386,0.286,0.2135,0.1925,NA,0.3265
1994,1.101,0.296,0.621,0.374,0.5,0.497,0.407,0.462,0.7,1.046,0.918,0.6495,0.205,0.181,0.201,0.331,0.2475,0.58,0.264,0.203,0.1695,NA,0.3715
1995,0.829,0.265,0.311,0.473,0.288,0.405,0.317,0.23,0.55,0.8015,0.533,0.403,0.135,0.115,0.203,0.295,0.226,0.4945,0.2735,0.1165,0.143,NA,0.4095
1996,0.9755,0.458,0.493,0.437,0.593,0.625,0.509,0.449,0.547,0.8495,0.67,0.626,0.145,0.1675,0.461,0.336,0.2465,0.6455,0.517,0.1965,0.0955,NA,0.4855
1997,0.8955,0.532,0.445,0.345,0.526,0.575,0.536,0.457,0.601,0.994,0.6635,0.4495,0.1665,0.235,0.35,0.3995,0.198,0.5455,0.404,0.191,0.092,NA,0.4565
1998,0.608,0.24,0.303,0.247,0.331,0.241,0.407,0.344,0.572,0.6975,0.3515,0.2455,0.144,0.155,0.285,0.185,0.1915,0.3185,0.258,0.1485,0.064,NA,0.2535
1999,0.513,0.203,0.267,0.205,0.203,0.404,0.529,0.377,0.365,0.739,0.461,0.2105,0.0785,0.202,0.351,0.167,0.178,0.371,0.2865,0.112,0.0545,NA,0.2185
2000,0.5595,0.247,0.413,0.169,0.243,0.251,0.421,0.328,0.346,0.9,0.4265,0.1835,0.053,0.207,0.3545,0.1455,0.22,0.328,0.261,0.0955,0.066,NA,0.182
2001,0.4095,0.178,0.239,0.085,0.148,0.192,0.353,0.217,0.373,0.8555,0.4605,0.2685,0.054,0.133,0.1955,0.1185,0.1695,0.2875,0.145,0.124,0.066,NA,0.092
2002,0.326,0.126,0.161,0.078,0.085,0.08,0.212,0.148,0.253,0.6435,0.1485,0.1275,NA,0.0335,0.074,0.0845,0.081,0.108,0.089,0.054,0.032,NA,0.059
2003,0.282,0.048,0.141,0.084,0.115,0.071,0.078,0.118,0.176,0.768,0.1005,0.114,NA,0.0715,0.146,0.0605,0.0775,0.0985,0.062,NA,NA,NA,0.061
2004,0.4105,0.083,0.134,0.049,0.138,0.112,0.078,0.1,0.197,0.953,0.087,0.0965,NA,0.0745,0.0765,0.09,0.0965,0.234,0.0565,NA,NA,NA,0.116
2005,0.076,0.094,0.021,0.01,0.042,0.081,0.092,0.115,0.135,0.4395,0.0265,0.1065,NA,0.0325,NA,0.1205,0.0845,0.2095,0.035,NA,NA,NA,0.091
2006,0.2675,0.084,0.035,0.053,0.053,0.104,0.085,0.064,0.127,0.855,0.035,0.0665,NA,0.073,NA,0.2265,0.072,0.203,0.048,NA,NA,NA,0.081
2007,0.2415,0.077,0.028,0.028,0.074,0.068,0.078,0.073,0.091,0.6865,0.028,0.085,NA,0.057,NA,0.1275,0.0795,0.1945,NA,NA,NA,NA,0.0685
2008,0.2935,0.052,0.021,0.063,0.063,0.053,0.07,0.033,0.099,0.674,0.0365,0.0445,NA,0.0345,NA,0.0375,NA,0.0855,NA,NA,NA,NA,NA
2009,0.3,0.041,0.035,0.049,0.042,0.052,0.134,0.057,0.034,0.7295,0.058,0.053,NA,NA,NA,0.051,NA,0.059,NA,NA,NA,NA,NA
2010,0.0885,0.049,0.021,0.035,0.029,0.062,0.099,0.057,0.03,0.613,0.0625,NA,NA,NA,NA,0.0435,NA,NA,NA,NA,NA,NA,NA
2011,0.391,0.049,0.035,0.056,0.119,0.072,0.134,0.095,0.111,1.131,0.1165,NA,NA,NA,NA,0.0465,NA,NA,NA,NA,NA,NA,NA
2012,0.4235,0.049,0.042,0.07,0.051,0.031,0.021,0.119,0.057,1.3915,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.427,0.05,0.063,0.063,0.215,0.114,0.106,0.178,0.062,1.457,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.2945,0.087,0.021,0.049,0.073,0.062,0.113,0.067,0.057,1.038,0.0575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.4705,0.055,0.071,0.084,0.223,0.134,0.13,0.166,0.071,1.4095,0.1645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA