year,TA9.91,TA1.61,TA2.61,TA4.61,TA3.61,TA7.61,TA10.61,TA9.61,TA6.61,TA12.61,TA5.61,TA6.91,TA3.91,TA2.91,TA5.91,TA10.91,TA7.91,TA1.91,TA4.91,TA8.91,TA6.94,TA1.94,TA4.94,TA5.94,TA2.94,TA11.94,TA12.94,TA3.94,TA8.94,TA7.94,TA8.97,TA7.97,TA12.97,TA3.97,TA11.97,TA4.97,TA5.97,TA6.97,TA9.97,TA10.97,TA1.97,TA2.97,TA12.19,TA11.19,TA2.19,TA6.19,TA3.19,TA5.19,TA7.19,TA4.19,TA10.19,TA8.19,TA12.23,TA11.23,TA2.23,TA3.23,TA4.23,TA1.23,TA9.23,TA8.23,TA7.23,TA6.23,TA5.23,TA10.23,TA4.29,TA5.29,TA12.29,TA10.29,TA8.29,TA13.29,TA2.29,TA3.29,TA1.29,TA2.30,TA5.30,TA3.30,TA1.30,TA7.30,TA9.30,TA10.30,TA11.30,TA6.30,TA4.30,TA8.30
1892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.141,NA,NA,NA,NA,NA,NA,NA,1.35,NA,NA
1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.443,NA,NA,NA,NA,NA,NA,NA,0.589,NA,NA
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1175,NA,NA,0.429,NA,NA,NA,NA,0.914,NA,NA
1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.051,NA,NA,0.518,NA,NA,NA,NA,1.544,NA,NA
1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0455,NA,NA,0.867,NA,NA,NA,NA,1.412,NA,NA
1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62,NA,NA,1.215,NA,NA,NA,NA,1.529,NA,NA
1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96,NA,NA,1.52,NA,NA,NA,NA,1.949,NA,NA
1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.071,NA,NA,NA,NA,NA,NA,1.965,NA,NA,2.204,NA,NA,NA,NA,2.057,NA,NA
1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.249,NA,NA,NA,NA,NA,NA,1.6305,NA,NA,1.555,NA,NA,NA,NA,1.498,NA,NA
1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.895,NA,NA,NA,NA,NA,NA,1.331,NA,NA,0.882,NA,NA,NA,NA,1.182,NA,NA
1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.434,NA,NA,NA,NA,NA,NA,0.9125,NA,NA,0.581,NA,NA,NA,NA,0.714,NA,2.608
1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.642,NA,NA,NA,NA,NA,1.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.178,NA,NA,NA,NA,NA,NA,1.298,NA,NA,0.665,NA,NA,NA,NA,1.232,NA,1.036
1914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4395,NA,NA,NA,NA,0.908,2.415,0.633,NA,NA,NA,NA,NA,2.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.54,NA,2.033,NA,NA,NA,NA,1.933,NA,NA,1.033,NA,1.606,NA,NA,1.26,NA,1.694
1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4785,NA,NA,NA,NA,0.988,1.8235,0.889,NA,NA,NA,NA,NA,3.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.91,NA,2.556,NA,NA,NA,NA,1.246,NA,NA,1.119,2.487,1.167,NA,NA,1.199,NA,1.898
1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.194,NA,NA,NA,NA,0.3485,0.6845,0.107,NA,NA,NA,NA,NA,3.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.449,NA,2.369,NA,NA,NA,NA,1.182,NA,NA,0.842,1.925,0.741,NA,NA,0.838,NA,1.541
1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.226,NA,NA,NA,NA,1.0815,1.467,0.7855,NA,NA,NA,NA,NA,2.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.724,2.822,2.077,NA,NA,NA,NA,0.9015,NA,NA,1.269,2.195,1.123,NA,NA,1.006,NA,1.524
1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.105,NA,NA,NA,NA,0.5585,1.151,0.9985,NA,NA,NA,NA,NA,2.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23,2.243,1.576,NA,NA,NA,NA,0.4425,NA,NA,0.508,1.837,0.992,NA,NA,0.798,NA,0.993
1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.795,NA,NA,NA,1.052,NA,NA,NA,1.097,NA,NA,NA,NA,1.163,1.7535,1.41,NA,NA,NA,NA,NA,1.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.281,2.425,1.787,NA,NA,NA,NA,1.0185,NA,NA,0.668,1.134,1.189,NA,NA,0.96,NA,0.499
1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.567,NA,NA,NA,1.673,NA,NA,NA,0.8825,NA,NA,NA,NA,0.6765,1.1955,0.9505,NA,NA,NA,NA,NA,1.831,NA,NA,NA,NA,NA,NA,NA,1.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.967,2.337,1.932,NA,NA,NA,NA,1.2165,NA,1.426,0.565,1.534,0.867,NA,NA,0.395,NA,0.7365
1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.619,NA,NA,NA,0.646,NA,NA,NA,0.8825,NA,NA,NA,NA,0.4155,1.055,0.7665,NA,NA,NA,NA,NA,1.69,NA,NA,NA,NA,0.973,NA,NA,1.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.808,2.233,2.838,2.442,2.299,NA,NA,1.6235,NA,1.073,NA,1.06,0.444,1.178,0.869,NA,NA,0.539,NA,1.1315
1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.143,NA,NA,NA,1.355,NA,NA,NA,1.1785,NA,NA,NA,NA,1.273,1.1685,0.813,NA,NA,NA,NA,NA,1.436,NA,NA,NA,NA,1.22,NA,NA,1.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,1.429,2.406,1.628,2.312,NA,NA,1.2185,NA,0.935,NA,1.296,0.628,1.314,0.52,NA,NA,0.483,NA,1.1225
1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.876,NA,0.816,NA,1.121,NA,NA,NA,0.785,NA,NA,NA,NA,0.975,0.779,1.2175,NA,NA,NA,NA,NA,1.041,NA,NA,NA,NA,0.682,NA,NA,1.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.759,1.058,1.14,0.827,0.837,NA,NA,0.566,NA,0.761,NA,1.114,0.416,1.438,0.607,NA,NA,0.345,NA,0.8195
1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.673,NA,0.962,NA,0.377,NA,NA,NA,0.335,NA,NA,NA,NA,0.4325,0.351,0.6475,NA,NA,0.514,NA,NA,0.946,NA,NA,NA,NA,0.8095,NA,NA,0.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.111,1.425,1.593,2.111,NA,NA,1.5075,NA,0.419,NA,1.017,0.387,1.394,0.847,NA,NA,0.215,NA,0.591
1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625,NA,0.9935,NA,0.484,NA,NA,NA,0.1065,NA,NA,NA,NA,0.795,0.592,0.863,NA,NA,0.283,NA,NA,0.887,NA,NA,NA,NA,0.412,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.511,1.804,3.662,3.233,3.081,NA,NA,2.4045,NA,0.3305,NA,0.643,0.056,0.93,0.629,NA,NA,0.161,NA,0.4465
1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.705,NA,1.816,NA,1.889,NA,NA,NA,0.89,NA,NA,NA,NA,1.6245,0.934,1.236,NA,NA,0.409,NA,NA,1.364,NA,NA,NA,NA,0.882,NA,NA,1.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.407,0.784,2.825,1.624,1.038,NA,NA,0.864,NA,0.3535,NA,1.155,0.211,0.993,0.374,NA,NA,0.301,NA,0.4835
1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.989,NA,1.52,NA,1.272,NA,NA,NA,1.2465,NA,NA,NA,1.166,1.086,0.7115,0.9325,NA,NA,0.492,NA,NA,1.053,NA,NA,NA,NA,0.7715,NA,NA,0.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.423,1.035,1.746,1.005,0.696,NA,NA,0.4945,NA,0.52,NA,1.021,0.352,0.99,0.567,NA,NA,0.524,NA,0.7605
1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.544,NA,0.8565,NA,0.338,NA,NA,NA,0.261,NA,NA,NA,0.693,0.23,0.4565,0.097,NA,NA,0.335,NA,NA,0.793,NA,NA,NA,NA,0.5855,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.876,1.232,2.153,1.552,1.729,NA,NA,0.673,NA,0.59,NA,0.579,0.24,1.241,0.776,NA,NA,0.456,NA,0.424
1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.207,1.272,NA,1.421,NA,0.577,NA,NA,NA,0.9615,NA,NA,NA,2.083,1.17,0.952,1.2045,NA,NA,0.411,NA,NA,1.285,NA,NA,NA,NA,0.84,NA,NA,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.109,1.652,3.118,2.732,2.849,NA,NA,1.1985,NA,0.4845,NA,0.496,0.282,1.25,0.534,NA,NA,0.495,NA,0.456
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.825,1.7445,NA,1.9935,NA,1.379,NA,NA,NA,1.5815,NA,NA,NA,2.646,2.121,1.3575,1.8035,NA,NA,0.628,NA,NA,1.395,NA,NA,NA,NA,1.0375,NA,NA,1.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,1.056,1.809,2.267,1.526,0.92,NA,0.7965,NA,0.674,NA,0.989,0.339,1.628,0.651,NA,0.544,0.474,NA,0.789
1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.365,1.831,NA,1.1855,NA,1.084,NA,4.04,NA,1.1615,NA,NA,NA,2.205,1.3855,1.0155,1.5565,NA,3.135,0.248,NA,NA,1.417,NA,NA,NA,NA,1.0395,NA,NA,0.766,NA,1.593,NA,NA,2.432,NA,NA,1.993,NA,NA,NA,NA,NA,NA,1.647,NA,1.025,NA,NA,NA,NA,NA,1.894,1.567,2.635,2.948,2.495,1.39,NA,1.1045,NA,0.59,NA,0.953,0.275,1.495,0.532,NA,0.496,0.555,NA,0.592
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.175,2.0055,NA,1.8865,NA,1.092,NA,2.523,NA,1.1885,NA,NA,NA,2.2265,1.7675,0.9635,1.4615,2.055,1.937,0.693,0.88,0.796,2.089,NA,NA,NA,NA,1.169,NA,NA,1.538,NA,1.833,NA,NA,2.012,NA,NA,1.816,NA,NA,NA,NA,NA,NA,3.111,NA,1.6035,NA,2.918,3.499,NA,2.095,1.813,1.032,2.61,2.838,1.946,0.851,NA,1.0415,NA,0.742,NA,1.079,0.508,1.156,0.812,0.859,0.55,0.585,NA,0.7205
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.808,2.1905,NA,2.392,NA,1.968,NA,3.427,NA,1.7475,2.492,NA,NA,1.9885,2.086,1.662,2.277,2.248,2.33,0.5455,0.723,0.674,1.303,NA,NA,NA,NA,1.164,NA,NA,1.164,1.367,1.5565,NA,NA,1.8295,NA,NA,1.374,NA,NA,NA,NA,NA,NA,1.761,NA,1.6185,NA,1.729,1.87,2.371,1.283,1.448,0.837,2.012,2.336,1.601,0.659,NA,0.7465,NA,0.816,NA,1.869,0.451,1.793,0.527,0.995,0.292,0.417,NA,1.0945
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293,0.2925,1.89,0.6825,NA,0.174,NA,0.491,NA,0.5055,1.44,NA,NA,0.5685,1.696,0.8325,1.514,2.265,1.301,0.556,0.879,0.854,1.456,NA,NA,NA,NA,1.0155,NA,NA,1.038,0.814,0.9355,NA,NA,0.846,NA,NA,0.885,NA,NA,NA,NA,NA,NA,1.432,1.789,1.2615,1.803,1.541,2.008,1.308,0.846,1.412,1.223,2.425,2.401,2.08,0.476,NA,0.7725,NA,0.937,NA,1.408,0.395,1.808,0.521,0.751,0.339,0.564,NA,1.4215
