year,TA9.91,TA1.61,TA2.61,TA4.61,TA3.61,TA7.61,TA10.61,TA9.61,TA6.61,TA12.61,TA5.61,TA6.91,TA3.91,TA2.91,TA5.91,TA10.91,TA7.91,TA1.91,TA4.91,TA8.91,TA6.94,TA1.94,TA4.94,TA5.94,TA2.94,TA11.94,TA12.94,TA3.94,TA8.94,TA7.94,TA8.97,TA7.97,TA12.97,TA3.97,TA11.97,TA4.97,TA5.97,TA6.97,TA9.97,TA10.97,TA1.97,TA2.97,TA12.19,TA11.19,TA2.19,TA6.19,TA3.19,TA5.19,TA7.19,TA4.19,TA10.19,TA8.19,TA12.23,TA11.23,TA2.23,TA3.23,TA4.23,TA1.23,TA9.23,TA8.23,TA7.23,TA6.23,TA5.23,TA10.23,TA4.29,TA5.29,TA12.29,TA10.29,TA8.29,TA13.29,TA2.29,TA3.29,TA1.29,TA2.30,TA5.30,TA3.30,TA1.30,TA7.30,TA9.30,TA10.30,TA11.30,TA6.30,TA4.30,TA8.30
1989,0.665,0.872,1.019,0.962,0.4965,0.759,0.233,1.165,0.71,0.439,0.7535,1.519,0.849,0.183,0.7915,0.958,0.428,0.8025,1.8535,0.82,0.072,0.807,0.2245,0.1935,0.255,0.53,1.096,0.4775,0.5655,0.6295,0.671,0.978,0.406,1.0115,0.9035,0.575,0.989,0.43,0.4135,0.61,0.6775,0.563,0.077,0.091,0.031,0.556,0.0365,0.227,0.092,0.042,0.068,0.995,1.8,0.8,1.4875,0.5955,1.432,0.408,0.7495,0.414,1.114,0.5935,0.197,0.4025,0.47,0.394,0.524,0.641,0.524,0.314,0.158,0.299,0.429,1.005,0.254,0.508,0.197,0.39,0.267,0.247,0.435,0.677,0.8865,0.9205
1990,0.355,0.841,1.139,1.125,0.7845,0.9765,0.296,1.157,0.931,1.028,1.215,0.87,0.4045,0.048,0.471,0.634,0.365,0.371,1.4525,0.4355,0.0555,0.318,0.1185,0.196,0.2635,0.4065,0.626,0.2725,0.472,0.2335,0.4465,0.5675,0.433,0.617,0.7035,0.586,0.73,0.646,0.798,0.495,0.5415,0.5265,0.146,0.034,0.028,0.178,0.0385,0.0885,0.062,0.029,0.026,0.4205,1.374,0.756,1.2445,0.319,1.048,0.4035,0.6665,0.6485,0.5265,0.5345,0.32,0.233,0.542,0.636,0.6795,0.514,0.571,0.163,0.222,0.2755,0.409,1.0355,0.374,0.529,0.36,0.636,0.622,0.436,0.674,0.614,1.4705,0.702
1991,0.219,1.288,1.7765,1.7885,1.593,1.782,0.649,1.511,1.703,1.442,1.5555,1.079,0.3045,0.063,0.685,0.989,0.546,0.537,2.219,0.609,0.041,0.148,0.098,0.0595,0.11,0.2245,0.4595,0.109,0.1645,0.1035,0.4865,0.637,0.314,0.5655,0.5705,0.586,0.496,0.281,0.3515,0.2805,0.059,0.4585,0.099,0.106,0.236,0.408,0.294,0.255,0.042,0.169,0.073,0.2705,1.99,1.136,1.8995,1.468,1.8255,0.596,1.164,0.508,1.202,0.6635,0.929,0.6375,0.628,0.571,0.699,0.838,0.957,0.595,0.214,0.394,0.502,0.883,0.43,0.45,0.769,0.689,0.467,0.247,0.464,0.824,1.137,0.5835
1992,0.079,1.688,1.5605,1.912,1.6045,1.318,0.923,1.48,1.039,1.387,1.6985,0.412,0.211,0.103,0.237,0.289,0.158,0.23,0.705,0.327,0.045,0.084,0.0895,0.0595,0.0945,0.1535,0.1955,0.0985,0.196,0.06,0.7555,0.7295,0.285,0.577,0.691,0.837,0.649,0.239,0.5325,0.476,0.4935,0.524,0.248,0.2525,0.074,0.465,0.073,0.514,0.177,0.192,0.11,0.467,2.011,1.097,1.898,0.9965,1.6125,1.0995,1.82,0.9995,1.377,1.034,0.845,0.759,0.301,0.301,0.4565,0.217,0.676,0.421,0.452,0.2045,0.699,0.972,0.529,0.635,0.339,0.767,0.877,0.621,0.634,0.565,1.4785,0.795
1993,0.22,1.236,1.656,1.3555,0.7755,1.238,0.713,1.447,1.079,1.342,0.7995,0.745,0.2335,0.199,0.6975,0.454,0.561,0.32,2.068,0.666,0.0725,0.297,0.1105,0.1915,0.2845,0.5985,1.126,0.1855,0.562,0.296,0.534,0.583,0.665,0.69,0.586,0.9565,0.787,0.428,0.533,0.5165,0.956,0.502,0.217,0.5785,0.191,0.803,0.2165,0.94,0.111,0.621,0.257,0.737,1.343,0.568,0.9035,0.797,1.1035,0.686,0.8075,0.701,0.878,0.638,0.673,0.401,0.325,0.417,0.453,0.382,0.744,0.493,0.349,0.2975,0.911,1.0445,0.324,0.529,0.536,0.602,0.563,0.338,0.575,0.584,1.279,0.778
1994,0.2,1.331,1.491,1.1395,1.203,1.201,0.726,1.164,1.325,1.252,0.9105,0.825,0.2035,0.293,0.649,0.8,0.617,0.3285,1.3105,0.6695,0.074,0.409,0.145,0.171,0.266,0.4555,0.8675,0.3715,0.585,0.473,0.5715,0.5495,0.453,0.6635,0.588,0.6465,0.422,0.351,0.5065,0.626,0.6185,0.446,0.311,0.435,0.233,0.548,0.1935,0.4895,0.062,0.168,0.159,0.527,1.396,0.337,0.9275,0.669,1.1585,0.2865,1.042,0.305,0.7,0.727,0.468,0.304,0.322,0.265,0.2915,0.06,0.396,0.371,0.143,0.1265,0.413,1.101,0.296,0.621,0.374,0.5,0.497,0.407,0.462,0.7,1.046,0.918
1995,0.373,1.9,1.388,1.4675,1.379,1.229,0.77,1.319,1.931,1.304,1.579,0.665,0.401,0.166,0.805,0.935,0.838,0.6295,1.138,0.6695,0.0805,0.431,0.2235,0.1775,0.236,0.527,1.0325,0.39,0.2765,0.3395,0.5165,0.53,0.321,0.65,0.6005,0.6885,0.369,0.232,0.4205,0.708,0.5435,0.3665,0.225,0.4945,0.041,0.613,0.2045,0.6675,0.052,0.325,0.153,0.6515,1.382,0.719,0.9555,0.731,1.0885,0.356,1.1525,0.4615,0.637,0.4745,0.364,0.315,0.315,0.49,0.3645,0.188,0.623,0.398,0.206,0.3255,0.889,0.829,0.265,0.311,0.473,0.288,0.405,0.317,0.23,0.55,0.8015,0.533
1996,0.661,0.974,0.801,0.9805,0.859,0.86,0.458,0.763,0.931,0.84,1.15,0.769,0.361,0.294,0.775,0.909,1.026,0.6305,1.1875,0.799,0.1,0.164,0.1575,0.228,0.2825,0.536,0.855,0.556,0.51,0.651,0.4505,0.446,0.397,0.707,0.5195,0.6635,0.615,0.331,0.6025,0.6295,0.623,0.408,0.186,0.5825,0.214,0.515,0.316,0.66,0.079,0.289,0.344,0.627,1.164,0.743,0.919,1.0315,1.1105,0.5545,0.954,0.4175,0.9695,0.498,0.55,0.237,0.392,0.465,0.455,0.27,1.181,0.398,0.238,0.3575,0.73,0.9755,0.458,0.493,0.437,0.593,0.625,0.509,0.449,0.547,0.8495,0.67
1997,0.44,0.875,0.767,0.796,0.812,0.8695,0.663,0.761,0.918,1.103,1.28,0.69,0.3635,0.325,0.6695,0.617,0.608,0.53,0.8895,0.577,0.045,0.231,0.175,0.2385,0.182,0.4465,0.532,0.3785,0.4365,0.3855,0.1625,0.1665,0.15,0.3085,0.356,0.42,0.46,0.19,0.2825,0.2975,0.2725,0.066,0.156,0.5465,0.188,0.478,0.2355,0.427,0.142,0.234,0.218,0.681,0.93,0.505,0.7825,0.792,0.9475,0.433,0.7815,0.3425,0.799,0.4285,0.388,0.215,0.236,0.359,0.356,0.226,0.568,0.376,0.246,0.2635,0.413,0.8955,0.532,0.445,0.345,0.526,0.575,0.536,0.457,0.601,0.994,0.6635
1998,0.412,0.264,0.4105,0.558,0.3745,0.415,0.374,0.392,0.316,0.515,0.778,0.667,0.416,0.23,0.649,0.622,0.48,0.412,1.0145,0.435,0.0665,0.303,0.235,0.291,0.1965,0.3855,0.5125,0.429,0.313,0.583,0.129,0.11,0.172,0.0875,0.221,0.2925,0.322,0.317,0.28,0.229,0.2045,0.2305,0.155,0.4045,0.169,0.465,0.1735,0.458,0.089,0.282,0.274,0.5115,0.481,0.262,0.412,0.1865,0.508,0.2915,0.2335,0.2025,0.277,0.2775,0.085,0.1575,0.357,0.282,0.355,0.232,0.41,0.404,0.231,0.2,0.405,0.608,0.24,0.303,0.247,0.331,0.241,0.407,0.344,0.572,0.6975,0.3515
1999,0.61,0.392,0.631,0.803,0.756,0.7035,0.188,0.65,0.612,0.881,1.255,1.032,0.574,0.42,0.7745,0.993,0.797,0.9955,1.575,0.849,0.147,0.328,0.232,0.3305,0.3305,0.517,0.8075,0.552,0.5035,0.9065,0.1355,0.187,0.348,0.2015,0.3445,0.308,0.537,0.276,0.273,0.2625,0.309,0.1885,0.139,0.439,0.214,0.42,0.3505,0.471,0.14,0.332,0.239,0.52,0.815,0.474,0.9345,0.426,1.005,0.5425,0.432,0.213,0.6585,0.3885,0.346,0.162,0.205,0.311,0.334,0.129,0.752,0.38,0.277,0.24,0.333,0.513,0.203,0.267,0.205,0.203,0.404,0.529,0.377,0.365,0.739,0.461
2000,0.895,0.55,0.5075,0.912,0.621,0.6935,0.122,0.587,0.613,1.037,0.937,1.143,0.992,0.476,0.9655,1.132,0.873,0.768,1.966,1.1465,0.1465,0.627,0.3565,0.449,0.401,0.877,1.2755,0.6325,1.096,1.2745,0.183,0.2085,0.441,0.4105,0.479,0.485,0.574,0.317,0.3265,0.3915,0.389,0.19,0.241,0.55,0.392,0.532,0.382,0.4705,0.083,0.389,0.297,1.3575,0.825,0.533,1.0595,0.4445,1.0975,0.5785,0.506,0.4385,0.758,0.4735,0.341,0.186,0.102,0.283,0.228,0.135,0.462,0.164,0.342,0.1435,0.27,0.5595,0.247,0.413,0.169,0.243,0.251,0.421,0.328,0.346,0.9,0.4265
2001,1.14,0.307,0.4495,0.5095,0.447,0.3465,0.14,0.441,0.402,0.4515,0.7925,1.451,0.953,0.5,1.2075,1.16,1.152,0.923,2.3085,1.298,0.29,0.693,0.2625,0.612,0.4795,0.865,1.2375,0.78,0.862,1.181,0.2205,0.187,0.225,0.522,0.307,0.4875,0.409,0.282,0.3735,0.298,0.1855,0.2405,0.321,0.5085,0.465,0.804,0.6145,1.068,0.083,0.428,0.356,1.3485,1.167,0.457,1.068,0.4135,1.1815,0.586,0.4655,0.4975,0.932,0.354,0.338,0.2055,0.076,0.086,0.0935,0.068,0.347,0.044,0.08,0.087,0.127,0.4095,0.178,0.239,0.085,0.148,0.192,0.353,0.217,0.373,0.8555,0.4605
2002,0.789,0.486,0.315,0.509,0.231,0.2715,0.208,0.362,0.269,0.393,0.4935,1.128,0.6665,0.198,1.1415,1.137,1.088,0.8115,1.7845,0.694,0.219,0.764,0.3915,0.3175,0.349,0.769,1.1565,0.6075,0.6245,0.9165,0.166,0.1615,0.236,0.231,0.271,0.2785,0.343,0.296,0.169,0.2205,0.147,0.2025,0.332,0.298,0.521,0.653,0.632,0.7035,0.111,0.136,0.373,0.9055,0.739,0.292,0.6215,0.2055,0.606,0.2165,0.3385,0.3065,0.725,0.222,0.258,0.062,0.075,0.063,0.1515,0.083,0.198,0.056,0.189,0.111,0.127,0.326,0.126,0.161,0.078,0.085,0.08,0.212,0.148,0.253,0.6435,0.1485
2003,0.629,0.116,0.1055,0.1895,0.169,0.1095,0.094,0.039,0.091,0.1545,0.339,1.027,0.689,0.143,0.8635,0.714,0.836,0.605,1.451,0.7735,0.096,0.399,0.311,0.2815,0.25,0.6605,0.8345,0.423,0.5755,0.787,0.187,0.1865,0.214,0.091,0.2705,0.259,0.301,0.24,0.1795,0.192,0.1845,0.074,0.277,0.3675,0.522,0.487,0.601,0.638,0.097,0.128,0.144,0.5635,0.561,0.218,0.3485,0.2235,0.3555,0.242,0.1585,0.1045,0.2625,0.0925,0.092,0.038,0.051,0.111,0.236,0.076,0.148,0.05,0.16,0.1145,0.166,0.282,0.048,0.141,0.084,0.115,0.071,0.078,0.118,0.176,0.768,0.1005
2004,0.388,0.254,0.2545,0.3065,0.261,0.222,0.177,0.165,0.239,0.1695,0.524,0.581,0.2995,0.175,0.5015,0.709,0.532,0.302,0.808,0.542,0.014,0.228,0.351,0.1445,0.279,0.456,0.4865,0.2605,0.3065,0.368,0.2325,0.254,0.141,0.1705,0.2405,0.3285,0.331,0.187,0.2115,0.1975,0.329,0.066,0.296,0.347,0.416,0.344,0.3165,0.472,0.073,0.128,0.116,0.476,0.692,0.151,0.534,0.099,0.3175,0.0625,0.0955,0.0695,0.3295,0.0735,0.071,0.0385,0.058,0.047,0.173,0.069,0.104,0.045,0.023,0.047,0.079,0.4105,0.083,0.134,0.049,0.138,0.112,0.078,0.1,0.197,0.953,0.087
2005,0.129,0.402,0.225,0.343,0.3045,0.184,0.127,0.197,0.301,0.297,0.69,0.214,0.0395,0.048,0.2365,0.504,0.141,0.0395,0.1065,0.083,0.0265,0.021,0.1695,0.111,0.035,0.0345,0.09,0.0445,0.068,0.206,0.0655,0.065,0.029,0.099,0.08,0.056,0.025,0.021,0.095,0.023,0.0325,0.0525,0.073,0.1165,0.035,0.134,0.038,0.1125,0.053,0.04,0.047,0.1095,0.304,0.069,0.1795,0.052,0.2545,0.04,0.0775,0.0245,0.0135,0.063,0.029,0.046,0.079,0.103,0.17,0.069,0.031,0.05,0.032,0.0925,0.127,0.076,0.094,0.021,0.01,0.042,0.081,0.092,0.115,0.135,0.4395,0.0265
2006,0.313,0.36,0.2,0.2005,0.2145,0.1375,0.135,0.075,0.056,0.171,0.57,0.29,0.0925,0.142,0.3705,1.188,0.494,0.194,0.7125,0.286,0.0325,0.107,0.1665,0.1595,0.1085,0.0825,0.398,0.1245,0.189,0.5015,0.102,0.2575,0.115,0.1595,0.189,0.0585,0.064,0.074,0.1055,0.023,0.0715,0.0475,0.059,0.137,0.168,0.211,0.136,0.1235,0.052,0.114,0.037,0.2285,0.189,0.055,0.219,0.0385,0.2585,0.132,0.1025,0.025,0.1095,0.0765,0.021,0.0385,0.257,0.095,0.1295,0.077,0.026,0.056,0.035,0.051,0.04,0.2675,0.084,0.035,0.053,0.053,0.104,0.085,0.064,0.127,0.855,0.035
2007,0.312,0.561,0.047,0.1895,0.2235,0.0945,0.025,0.034,0.056,0.1115,0.4275,0.233,0.0965,0.143,0.353,0.443,0.315,0.255,0.946,0.3445,0.036,0.113,0.1335,0.17,0.102,0.2365,0.336,0.1445,0.3585,0.2785,0.089,0.123,0.091,0.1165,0.179,0.051,0.09,0.12,0.1,0.029,0.038,0.039,0.053,0.1295,0.111,0.176,0.137,0.1485,0.034,0.098,0.058,0.263,0.166,0.055,0.552,0.04,0.2635,0.1305,0.1305,0.035,0.15,0.0455,0.042,0.049,0.309,0.078,0.1805,0.069,0.021,0.09,0.044,0.0565,0.056,0.2415,0.077,0.028,0.028,0.074,0.068,0.078,0.073,0.091,0.6865,0.028
2008,0.271,0.614,0.135,0.27,0.264,0.2555,0.173,0.314,0.281,0.4115,0.5195,0.559,0.0855,0.159,0.3615,0.325,0.219,0.373,0.5645,0.263,0.0405,0.182,0.188,0.153,0.077,0.2335,0.164,0.151,0.1475,0.3035,0.081,0.223,0.098,0.1215,0.198,0.111,0.208,0.085,0.1,0.0235,0.2505,0.039,0.037,0.1435,0.084,0.155,0.08,0.1725,0.017,0.106,0.064,0.13,0.125,0.063,0.6655,0.0505,0.212,0.279,0.162,0.0525,0.4845,0.098,0.042,0.0385,0.133,0.079,0.264,0.092,0.029,0.062,0.024,0.0635,0.063,0.2935,0.052,0.021,0.063,0.063,0.053,0.07,0.033,0.099,0.674,0.0365
2009,0.457,0.709,0.202,0.4465,0.547,0.457,0.162,0.357,0.352,0.753,1.075,0.499,0.081,0.088,0.6,0.504,0.631,0.6215,1.084,0.562,0.0525,0.797,0.217,0.1935,0.179,0.3645,0.5685,0.2685,0.572,1.39,0.1005,0.208,0.057,0.245,0.2165,0.1675,0.22,0.134,0.216,0.0265,0.236,0.076,0.095,0.2375,0.169,0.234,0.251,0.311,0.03,0.24,0.042,0.1855,0.094,0.111,1.061,0.0705,0.236,0.2575,0.216,0.0615,0.774,0.1085,0.064,0.0385,0.226,0.094,0.178,0.046,0.065,0.09,0.032,0.0835,0.063,0.3,0.041,0.035,0.049,0.042,0.052,0.134,0.057,0.034,0.7295,0.058
2010,0.412,0.085,0.049,0.152,0.1635,0.1535,0.098,0.067,0.063,0.142,0.3925,0.748,0.154,0.317,0.5115,0.699,0.553,0.3775,0.557,0.2815,0.0575,0.261,0.2085,0.132,0.098,0.094,0.307,0.1915,0.588,0.8195,0.1335,0.1295,0.036,0.1565,0.207,0.111,0.19,0.183,0.158,0.0405,0.133,0.089,0.064,0.175,0.127,0.232,0.1065,0.2325,0.027,0.13,0.027,0.148,0.073,0.097,0.324,0.0405,0.1745,0.0305,0.0865,0.0245,0.0775,0.028,0.035,0.0315,0.175,0.144,0.15,0.038,0.08,0.089,0.064,0.1675,0.064,0.0885,0.049,0.021,0.035,0.029,0.062,0.099,0.057,0.03,0.613,0.0625
2011,0.488,0.233,0.1825,0.196,0.342,0.138,0.082,0.138,0.141,0.105,0.4265,0.631,0.2335,0.214,0.57,0.896,0.627,0.343,0.745,0.3295,0.059,0.183,0.186,0.1535,0.169,0.2465,0.5015,0.1725,0.9175,1.234,0.1285,0.232,0.103,0.2575,0.265,0.086,0.147,0.219,0.2685,0.0335,0.0745,0.0735,0.069,0.2,0.049,0.134,0.07,0.1725,0.026,0.133,0.036,0.116,0.136,0.154,0.9615,0.0685,0.4215,0.211,0.252,0.042,0.683,0.072,0.028,0.049,0.198,0.228,0.2485,0.061,0.022,0.112,0.246,0.21,0.373,0.391,0.049,0.035,0.056,0.119,0.072,0.134,0.095,0.111,1.131,0.1165
2012,0.339,0.169,0.0975,0.2835,0.2465,0.235,0.089,0.374,0.14,0.193,0.3945,0.816,0.169,0.142,0.467,0.643,0.291,0.13,0.5825,0.339,0.056,0.296,0.1315,0.106,0.144,0.2155,0.221,0.218,0.4715,0.548,0.074,0.1765,0.099,0.2245,0.182,0.0685,0.162,0.078,0.1475,0.0495,0.0485,0.0555,0.048,0.084,0.01,0.085,0.0235,0.078,0.037,0.128,0.032,0.122,0.429,0.146,1.0775,0.0385,0.5655,0.073,0.3285,0.1175,1,0.042,0.053,0.0355,0.167,0.041,0.0505,0.032,0.054,0.045,0.048,0.049,0.373,0.4235,0.049,0.042,0.07,0.051,0.031,0.021,0.119,0.057,1.3915,0.11
2013,0.495,0.423,0.175,0.402,0.7335,0.614,0.156,0.482,0.239,0.6255,0.6525,0.687,0.234,0.103,0.8325,0.904,0.651,0.4655,1.4175,0.559,0.052,0.38,0.1745,0.133,0.155,0.325,0.543,0.309,0.764,0.8135,0.22,0.1775,0.1,0.1885,0.2805,0.191,0.154,0.198,0.1885,0.0985,0.141,0.0735,0.048,0.172,0.047,0.141,0.086,0.088,0.028,0.105,0.037,0.1465,0.628,0.238,1.1515,0.2345,0.7225,0.5385,0.49,0.2625,0.929,0.125,0.064,0.042,0.306,0.284,0.242,0.053,0.041,0.095,0.11,0.1955,0.174,0.427,0.05,0.063,0.063,0.215,0.114,0.106,0.178,0.062,1.457,0.2
2014,0.251,0.286,0.0515,0.2605,0.4185,0.208,0.026,0.193,0,0.429,0.704,0.806,0.162,0.095,0.5105,0.894,0.361,0.253,0.591,0.3405,0.075,0.231,0.176,0.07,0.1085,0.277,0.4305,0.1215,0.469,0.4615,0.181,0.3495,0.119,0.3065,0.2245,0.248,0.163,0.176,0.3045,0.074,0.0505,0.0705,0.032,0.0525,0.063,0.05,0.0665,0.0705,0.028,0.08,0.042,0.0545,0.522,0.084,0.737,0.0955,0.576,0.0865,0.428,0.0915,0.784,0.0455,0.049,0.0315,0.061,0.04,0.193,0.036,0.032,0.039,0.072,0.0955,0.254,0.2945,0.087,0.021,0.049,0.073,0.062,0.113,0.067,0.057,1.038,0.0575
2015,0.361,0.1115,0.4,0.37,0.385,0.08,0.273,0.239,0.742,0.6625,0.485,0.1135,0.119,0.6775,0.934,0.299,0.3815,0.9065,0.404,0.05,0.251,0.106,0.073,0.089,0.1655,0.4635,0.1335,0.4245,0.399,0.318,0.383,0.127,0.2865,0.224,0.4645,0.21,0.19,0.4625,0.12,0.099,0.075,0.042,0.0605,0.042,0.085,0.06,0.067,0.029,0.054,0.026,0.042,0.697,0.218,0.871,0.169,0.7935,0.4405,0.365,0.214,1.73,0.06,0.045,0.035,0.149,0.102,0.1395,0.041,0.068,0.09,0.182,0.087,0.238,0.4705,0.055,0.071,0.084,0.223,0.134,0.13,0.166,0.071,1.4095,0.1645,