year,TM8.61,TM11.61,TM12.61,TM10.61,TM9.61,TM3.61,TM1.61,TM2.61,TM5.61,TM6.61,TM7.61,TM12.91,TM1.91,TM6.91,TM3.91,TM4.91,TM7.91,TM8.91,TM9.91,TM10.91,TM2.91,TM4.94,TM5.94,TM11.94,TM9.94,TM6.94,TM10.94,TM1.94,TM7.94,TM8.94,TM2.94,TM5.97,TM2.97,TM1.97,TM7.97,TM11.97,TM10.97,TM9.97,TM6.97,TM8.97,TM4.97,TM12.97,TM10.19,TM1.19,TM4.19,TM5.19,TM3.19,TM7.19,TM6.19,TM8.19,TM12.19,TM9.19,TM11.19,TM7.23,TM5.23,TM6.23,TM2.23,TM3.23,TM1.23,TM10.23,TM8.23,TM4.23,TM12.23,TM11.23,TM9.23,TM7.29,TM6.29,TM5.29,TM4.29,TM3.29,TM2.29,TM1.29,TM12.29,TM11.29,TM10.29,TM8.29,TM8.30,TM3.30,TM2.30,TM1.30,TM5.30,TM4.30,TM6.30,TM7.30,TM9.30,TM10.30,TM11.30,TM12.30,TM9.29
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.855,1.727,1.849,1.381,1.809,0.8165,1.3905,1.4615,1.2735,NA,1.048,1.3845,0.61,1.5635,1.193,2.043,1.688,1.206,1.3175,1.0465,1.1155,0.9585,1.039,0.8735,1.2115,0.884,1.121,1.521,0.537,1.344,1.175,0.361,1.237,1.022,1.037,0.616,0.7205,0.8165,0.505,0.5615,NA,1.119,1.9675,1.153,1.2985,NA,NA,1.217,NA,1.371,1.2395,1.5445,1.82,1.706,1.6805,1.609,1.6315,2.2285,2.285,1.304,0.765,1.404,1.5885,1.478,1.9925,0.934,0.4195,0.835,0.471,NA,0.698,0.403,1.9215,0.3445,1.254,0.881,0.456,1.889
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.758,1.655,1.604,1.497,1.0965,0.915,1.2005,1.388,1.7485,NA,1.576,1.659,0.873,1.7865,1.5205,1.736,1.878,0.987,1.0085,0.88,1.138,0.8135,0.918,0.731,1.268,0.8735,0.941,1.486,0.3115,1.061,1.4175,0.658,2.529,1.7015,1.864,0.9685,1.1915,1.516,1.342,0.5915,NA,1.3865,1.7455,0.783,0.6555,NA,NA,1.421,NA,0.564,1.2215,1.556,1.214,1.686,1.59,2.052,1.663,1.888,1.769,1.546,0.639,0.8575,1.258,1.706,2.131,1.005,0.4085,0.944,0.7515,NA,0.6445,0.5715,1.6765,0.4075,1.2775,0.8995,0.451,2.1175
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.472,1.366,1.273,1.0125,1.045,0.771,1.061,0.988,1.513,NA,1.1645,1.3825,0.413,1.1915,1.251,1.488,1.008,0.798,0.687,1.113,1.144,0.742,0.6225,0.49,0.9715,0.8435,0.79,1.4025,0.3495,1.501,1.0355,0.495,1.418,1.1785,1.451,0.939,0.58,0.7785,1.1295,0.524,NA,0.912,1.7025,0.607,0.9225,NA,NA,2.3805,NA,0.7,1.007,1.8705,1.3595,1.644,1.531,1.223,1.6265,1.7865,1.92,1.194,0.762,0.5575,1.3135,1.767,1.9,1.181,0.24,0.7135,0.556,NA,0.5405,0.5005,2.049,0.4685,1.4015,0.7345,0.4235,1.8715
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.355,1.6545,1.2105,0.907,0.984,0.6475,0.881,0.8695,1.4435,NA,0.8985,1.431,0.43,0.9555,1.385,1.202,1.345,0.898,0.7275,1.066,1.1785,0.8565,0.9145,0.65,0.9615,1.032,1.0015,1.334,0.2555,1.057,0.896,0.349,1.905,1.088,1.303,0.7865,0.9185,0.868,0.779,0.4285,NA,1.0405,2.4245,0.8195,2.4985,NA,NA,2.854,NA,1.0055,1.775,2.0755,2.005,1.388,1.663,0.975,1.7455,1.579,1.597,1.687,0.686,0.46,1.5025,1.689,2.038,0.789,0.3265,0.8965,0.5905,NA,0.602,0.5045,1.778,0.5385,1.7895,0.77,0.416,2.4095
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5995,1.5475,1.577,1.628,1.1405,0.979,1.0545,1.149,1.792,NA,1.149,1.529,0.593,1.316,1.4975,1.559,1.617,1.072,0.782,1.164,1.1765,0.858,1.067,0.7035,1.1255,1.003,1.1435,1.418,0.508,0.915,0.806,0.445,2.54,1.293,1.714,1.0915,1.4365,1.07,1.135,0.772,NA,1.2075,2.579,0.9075,2.2505,NA,NA,2.438,NA,0.985,1.357,2.1895,1.7145,1.774,1.0775,0.381,1.1075,1.8445,1.0725,1.41,0.391,0.4315,0.94,1.391,1.908,0.734,0.3235,1.398,0.758,NA,0.621,0.64,2.167,0.65,1.9495,0.9855,0.533,1.8055
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7055,1.7225,1.661,2.032,1.2105,1.021,1.0125,1.307,1.874,NA,1.457,1.7055,0.744,1.5125,1.9175,1.721,1.255,1.111,0.7515,0.969,0.9195,0.7755,0.912,0.7165,0.9755,0.7155,1.0655,1.3785,0.2715,0.8405,0.8275,0.523,1.778,1.3625,1.488,0.9065,1.517,1.2805,1.189,0.685,NA,1.31,1.844,0.6155,1.5355,NA,NA,0.9575,0.718,0.9335,0.8605,1.16,0.7405,0.8295,0.4985,0.423,0.9765,1.2045,0.616,0.6215,0.384,0.179,0.5455,0.599,1.041,0.9435,0.2185,1.041,0.6865,NA,0.546,0.396,1.4865,0.5285,1.5025,0.729,0.3835,0.816
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.124,0.8755,1.077,1.3175,0.9125,0.8455,0.525,1.2885,1.761,NA,0.967,0.7615,0.4715,0.974,1.2005,1.083,0.711,0.492,0.442,0.4525,0.433,0.495,0.957,0.4285,0.9355,0.41,0.7875,0.9745,0.217,0.5675,0.8425,0.483,2.429,1.233,1.17,0.82,1.001,0.9515,0.803,0.7125,NA,1.269,2.129,1.204,2.2815,NA,NA,1.874,1.2,0.973,1.388,1.608,1.0785,1.779,0.8945,0.783,1.1925,1.454,1.143,0.8765,0.357,0.547,0.6755,0.572,0.831,0.814,0.5075,0.724,0.6575,NA,0.3895,0.329,1.5765,0.5655,0.9535,0.669,0.368,1.414
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1315,1.1145,0.955,1.7995,1.0765,1.059,0.8275,1.014,1.6325,NA,0.951,1.0575,0.5385,1.07,1.064,1.338,0.712,1.018,0.588,0.7805,0.688,0.618,0.888,0.592,1.115,0.1805,0.8665,1.393,0.0995,0.7,0.883,0.373,2.038,1.218,1.4285,0.683,0.973,0.9865,0.6815,0.7525,NA,0.9645,1.7255,0.7275,1.632,NA,NA,1.186,0.852,0.891,1.11,1.1745,0.829,1.5105,0.836,0.931,1.6105,1.7125,0.9545,1.022,0.506,0.5715,0.7955,0.987,1.388,0.4055,0.6785,0.666,0.7355,NA,0.6335,0.4925,1.676,0.883,0.9735,0.743,0.3765,1.26
1943,NA,NA,0.85,NA,NA,NA,0.747,NA,NA,NA,NA,1.171,1.3895,1.0435,1.2945,1.0075,0.967,0.8475,1.116,1.2845,NA,0.9185,0.9505,0.543,1.044,1.1725,1.186,0.589,0.665,0.7695,0.569,1.0865,0.69,1.0375,0.503,1.412,0.707,1.186,1.6585,0.541,1.092,1.2695,0.686,1.534,1.073,1.125,0.649,0.6965,0.8925,0.6825,0.6325,1.184,1.229,1.834,0.892,2.1545,0.489,NA,1.671,1.429,0.819,1.1815,1.2275,0.7295,1.6325,1.024,1.143,1.78,1.484,1.2275,0.7645,0.634,0.442,1.0195,0.672,1.588,0.5975,0.5725,0.803,0.695,NA,0.8095,0.2675,1.3195,0.4785,0.614,0.689,0.3175,1.7305
1944,NA,NA,1.3435,NA,0.594,NA,2.1165,NA,1.1435,1.6365,NA,1.255,1.893,1.113,1.6005,1.2725,1.3125,1.2125,1.45,1.864,NA,1.08,1.208,0.6105,1.4205,1.6305,1.604,1.462,0.77,1.2525,1.152,1.348,1.1225,0.9935,0.3135,1.0565,0.631,0.8185,1.6475,0.2975,0.993,0.7715,0.445,1.97,1.5065,1.5045,0.8315,1.089,1.3075,0.7465,0.995,1.081,1.4445,2.1465,0.854,2.2225,1.0505,0.7075,1.6025,1.093,1.1695,1.106,1.4845,0.984,1.425,1.721,1.376,1.439,1.6385,1.2255,0.9135,0.807,0.407,0.9105,0.599,1.3865,0.9875,0.759,0.849,0.8235,1.0795,0.8,0.403,1.355,0.4775,0.6465,0.486,0.2735,1.184
1945,0.83,NA,1.1955,NA,0.731,NA,2.24,NA,2.128,1.734,NA,1.5975,1.4555,0.9515,1.553,1.1695,1.157,1.215,1.2465,1.6895,NA,1.243,1.215,0.586,1.2945,1.6265,1.431,1.325,0.627,0.793,0.9205,1.431,1.1875,1.291,0.3985,1.1545,0.8475,0.938,1.797,0.397,0.8105,0.812,0.75,2.002,1.562,1.136,0.791,1.3795,1.062,0.838,0.9105,0.9535,1.2905,1.954,1.156,2.812,1.2415,1.7355,1.997,1.5245,1.4095,1.476,1.6035,1.351,1.398,1.7855,1.29,1.8935,1.8045,1.809,0.725,0.735,0.55,1.3595,0.736,1.8045,1.7255,0.7545,0.692,0.73,1.1135,0.7135,0.2965,1.647,0.653,0.637,0.359,0.2525,2.203
1946,1.508,NA,1.238,1.161,0.945,NA,1.415,NA,1.2825,2.217,NA,1.342,1.4175,1.2885,1.6725,1.009,1.4335,1.219,1.2245,1.62,NA,1.458,1.031,0.3445,1.1855,1.3375,1.322,1.417,0.906,0.906,1.051,0.747,0.74,0.75,0.2755,0.679,0.612,0.4755,0.9345,0.3895,0.6205,0.5655,0.424,1.743,1.52,1.235,0.4895,1.0005,1.1935,0.988,1.006,0.8905,1.273,1.3455,0.304,1.841,1.452,0.751,0.425,0.556,0.489,0.5115,0.797,0.488,0.9605,1.282,1.08,1.607,1.427,1.393,0.8075,0.931,0.2875,1.024,0.78,1.2745,0.14,0.625,0.716,0.773,2.2525,0.5285,0.421,1.584,0.767,0.739,0.4105,0.351,2.052
1947,1.1745,NA,1.437,1.297,1.008,NA,1.338,NA,1.5875,1.933,NA,0.9175,0.831,0.556,0.9475,0.899,1.0035,0.627,0.908,1.0335,NA,0.854,0.5385,0.1425,0.5805,0.654,0.712,0.564,0.601,0.3665,0.6215,0.7945,0.652,0.838,0.2895,0.8555,0.52,0.667,1.379,0.229,0.989,0.9055,0.479,0.858,0.7385,0.729,0.4285,0.448,0.7365,0.9355,0.629,0.5515,0.838,1.6005,0.614,1.796,0.838,1.255,0.5265,0.7885,0.826,0.715,0.789,0.593,1.3645,1.762,1.483,1.424,1.5135,1.768,0.839,1.097,0.3025,1.2035,0.492,1.191,0.9105,0.565,0.6425,0.711,1.2915,0.397,0.3755,1.2445,0.5025,0.816,0.433,0.4085,2.131
1948,1.908,1.1945,1.375,1.5395,2.064,NA,1.297,NA,1.726,2.6585,NA,0.817,1.019,0.8215,1.1035,1.049,1.097,0.9135,1.298,1.4975,NA,0.9805,0.934,0.1305,1.0015,0.6915,1.058,0.505,1.025,0.4875,0.523,0.6355,0.653,0.7525,0.317,0.674,0.4805,0.706,1.032,0.462,0.713,0.6895,0.433,1.038,0.811,0.481,0.297,0.3945,0.5675,1.0295,0.59,0.6005,0.831,2.1205,1.021,2.5085,0.637,1.101,1.154,0.9615,1.0905,1.03,1.266,1.1465,1.7215,1.309,0.796,0.816,0.8105,0.971,0.462,0.826,0.219,0.829,0.211,0.675,0.8205,0.877,0.8175,0.9265,1.8385,0.825,0.696,1.8825,0.826,0.8965,0.7965,0.4075,1.215
1949,2.0165,1.3535,1.4465,1.3085,2.196,0.683,1.74,2.0385,2.4165,2.7055,NA,0.414,0.758,0.248,0.61,0.7125,0.723,0.483,1.0765,1.0905,NA,0.4435,0.695,0.076,0.717,0.525,0.442,0.196,0.169,0.1975,0.6205,0.228,0.3725,0.464,0.2075,0.3185,0.3235,0.507,0.6015,0.1775,0.351,0.3395,0.263,0.764,0.5545,0.1775,0.203,0.252,0.387,1.1335,0.437,0.4355,0.6485,1.435,1.07,2.2695,0.864,0.683,1.713,1.3495,1.0145,0.756,1.2635,1.3175,1.7245,1.3075,0.795,1.2165,1.178,1.6815,0.6315,0.675,0.1955,0.8495,0.37,1.0145,0.8625,0.4945,0.62,0.4425,1.0165,0.3885,0.2695,1.366,0.3415,0.6,0.4725,0.2645,1.2535
1950,1.7605,0.8285,1.4825,1.2535,2.404,3.192,1.6485,2.432,1.711,2.8655,NA,0.89,1.3245,0.633,1.3485,1.323,1.0625,1.209,1.409,1.869,NA,0.811,0.805,0.234,0.816,0.937,1.058,0.477,0.466,0.766,0.514,0.4935,0.414,0.5415,0.322,0.649,0.417,0.725,1.035,0.2095,0.6785,0.4585,0.243,1.028,0.6185,0.5145,0.2425,0.425,0.578,0.932,0.483,0.5115,0.999,1.5055,0.643,1.7035,1.0805,0.555,0.892,0.98,0.8465,0.925,0.908,0.7185,1.495,1.115,0.733,0.8845,0.847,0.958,0.4955,0.317,0.216,0.423,0.161,0.645,1.54,0.702,0.805,0.678,1.924,0.479,0.515,1.3485,0.487,0.78,0.73,0.4475,1.26
1951,1.4225,0.9705,1.0925,1.041,2.288,2.949,1.121,2.48,1.43,1.7355,NA,0.787,0.7745,0.3905,0.8265,0.6265,0.713,0.7485,0.8665,1.01,NA,0.619,0.6465,0.174,0.572,0.661,0.679,0.533,0.188,0.4015,0.4275,0.357,0.4775,0.5505,0.1945,0.5195,0.3555,0.307,0.9955,0.0965,0.3835,0.291,0.265,0.66,0.556,0.292,0.1865,0.3325,0.459,0.6355,0.48,0.533,0.6305,1.3505,0.7975,1.582,0.8155,1.0055,1.2255,0.8835,0.705,0.688,0.67,0.7775,1.3,0.824,0.465,0.7405,0.8105,0.537,0.3575,0.38,0.2315,0.426,0.127,0.595,0.7015,0.343,0.271,0.303,1.3645,0.306,0.3875,1.123,0.3345,0.386,0.35,0.247,0.302
1952,2.3935,1.887,1.262,1.568,2.836,3.4395,1.787,3.679,1.898,1.7895,NA,0.803,0.8565,0.37,0.66,0.739,0.6155,0.523,0.9525,1.142,NA,0.584,0.7495,0.2065,0.709,0.837,0.855,0.554,0.392,0.4745,0.739,0.3885,0.6765,0.477,0.2,0.6025,0.408,0.691,1.1655,0.1815,0.663,0.319,0.401,0.594,0.476,0.5,0.16,0.3515,0.5525,0.764,0.4365,0.532,1.0025,1.6245,1.3775,1.906,1.037,0.875,1.4635,1.0935,1.0595,0.808,1.302,1.1675,1.863,1.1405,0.808,1.175,1.315,1.291,0.467,0.821,0.5155,0.9065,0.241,0.6235,0.694,0.756,0.453,0.5375,1.027,0.4435,0.319,1.45,0.7015,0.594,0.525,0.415,0.593
1953,1.359,1.2865,0.8,0.934,1.718,2.411,1.034,1.6045,1.3495,1.578,NA,0.5895,0.8705,0.4705,1.178,0.7585,0.82,0.4975,1.0515,0.993,NA,0.58,0.578,0.1505,0.618,0.717,0.825,0.513,0.442,0.481,0.5705,0.601,0.595,0.48,0.3565,0.6545,0.5795,0.6805,1.2355,0.1295,0.584,0.415,0.361,0.545,0.488,0.5485,0.2155,0.2045,0.5185,0.6425,0.4415,0.4745,0.7205,1.716,1.675,2.2965,1.0985,1.2665,2.0655,1.207,1.23,1.1515,1.441,1.0105,1.9585,0.8215,0.776,0.9045,0.9045,1.009,0.3795,0.802,0.384,0.685,0.114,0.736,1.305,0.651,0.5395,0.7645,0.826,0.5785,0.539,1.732,0.8635,0.699,0.4575,0.4785,1.1545
1954,1.5385,1.4455,1.17,0.636,1.907,2.447,1.586,2.0075,1.308,1.1235,NA,0.5805,0.5045,0.323,0.9695,0.6615,0.722,0.6055,0.7775,1.0315,NA,0.4305,0.442,0.133,0.36,0.5575,0.606,0.306,0.436,0.2725,0.3655,0.425,0.5915,0.5565,0.3405,0.6795,0.396,0.4885,1.086,0.112,0.4065,0.5925,0.327,0.44,0.398,0.304,0.2015,0.0955,0.4565,0.5655,0.316,0.4355,0.3775,1.755,1.046,1.5405,1.15,1.039,1.288,0.8245,0.8645,0.7645,1.0915,0.7175,1.4415,1.2165,0.967,1.1885,1.1425,1.018,0.396,0.973,0.3465,0.653,0.234,0.9135,0.713,0.7195,0.418,0.5235,1.064,0.231,0.462,1.454,0.8005,0.5945,0.6705,0.385,0.7045
1955,1.611,1.5945,1.233,0.831,1.967,2.3775,1.849,2.136,1.6535,1.493,NA,0.311,0.3365,0.2265,0.632,0.265,0.485,0.437,0.494,0.7965,NA,0.133,0.329,0.101,0.2205,0.282,0.525,0.147,0.17,0.1735,0.3155,0.5865,0.4685,0.3885,0.1615,0.569,0.384,0.4295,0.9225,0.098,0.586,0.501,0.17,0.508,0.2685,0.204,0.125,0.196,0.3465,0.9105,0.283,0.3235,0.463,1.5595,1.157,1.4615,1.4335,0.9165,2.1625,1.0415,1.0535,1.0295,1.7555,0.871,1.62,1.351,0.78,1.278,1.6135,1.341,0.518,1.101,0.5465,1.2925,0.307,1.0755,0.141,0.7025,0.5505,0.293,0.2975,0.403,0.465,1.035,0.508,0.328,0.6485,0.2685,1.1225
1956,1.4115,1.0615,0.885,0.5525,1.543,2.077,1.3695,1.9475,1.259,1.568,NA,0.311,0.3335,0.301,0.696,0.602,0.546,0.749,0.5075,0.6765,NA,0.3645,0.2985,0.1965,0.237,0.413,0.33,0.135,0.312,0.279,0.525,0.5075,0.4135,0.444,0.277,0.666,0.268,0.6015,0.9725,0.208,0.501,0.377,0.307,0.378,0.2335,0.375,0.2045,0.2595,0.323,0.9135,0.4865,0.436,0.444,1.06,0.504,2.4145,0.866,0.731,0.744,0.624,1.1,0.4955,0.736,0.7345,1.6815,1.6265,1.305,1.361,1.559,1.731,0.4765,1.016,0.482,1.071,0.383,1.2695,0.5005,0.6475,0.7585,0.238,0.764,0.3525,0.578,1.2635,0.6015,0.227,0.5835,0.1585,1.5835
1957,1.0545,1.1675,0.8065,0.4335,1.836,1.7905,1.054,1.5775,0.982,1.375,NA,0.6415,0.693,0.633,1.2075,1.1035,0.7375,0.871,1.089,1.2575,NA,0.865,0.689,0.3475,0.511,0.987,0.877,0.548,0.367,0.349,0.7845,0.673,0.474,0.4335,0.3935,0.6945,0.4235,0.7335,0.9695,0.2135,0.9245,0.5585,0.599,0.481,0.5555,0.46,0.484,0.3685,0.531,1.07,0.5605,0.538,0.5575,1.533,0.947,2.3895,1.6805,1.048,1.3165,0.526,0.7655,0.9595,1.07,0.6005,1.467,0.9165,0.639,0.7555,0.983,0.8145,0.1905,0.317,0.1285,0.608,0.13,0.509,0.826,0.6515,0.932,0.603,1.379,0.5775,0.804,1.2,0.9495,0.6815,0.8615,0.3325,0.6545
1958,0.3395,0.5175,0.326,0.157,0.658,0.5145,0.474,0.49,0.516,0.5435,NA,0.691,0.548,0.4775,0.8705,0.6755,0.8675,0.8115,1.164,1.2795,NA,0.9975,0.712,0.2825,0.4375,0.966,0.772,0.379,0.416,0.364,0.7,0.3835,0.412,0.1535,0.31,0.5885,0.392,0.503,0.9115,0.2155,0.425,0.524,0.36,0.354,0.359,0.4035,0.303,0.272,0.42,0.874,0.4295,0.6095,0.505,0.984,0.163,0.239,0.5255,0.1325,0.6945,0.074,0.2045,0.3725,0.307,0.0485,0.8915,0.643,0.534,0.522,0.843,0.773,0.5215,0.233,0.1435,0.539,0.125,0.4185,0.3245,0.3925,0.434,0.3205,0.781,0.26,0.4735,0.6875,0.4655,0.243,0.3835,0.2055,0.406
1959,0.3385,0.458,0.553,0.2695,0.89,0.652,0.387,0.877,0.406,0.7055,NA,0.3555,0.406,0.551,0.7355,0.517,0.5695,0.6035,0.811,0.8645,NA,0.8025,0.613,0.1675,0.47,0.6315,0.739,0.341,0.622,0.4315,0.84,0.478,0.5225,0.3645,0.3405,0.533,0.374,0.608,0.899,0.1675,0.477,0.4855,0.401,0.563,0.3405,0.416,0.243,0.184,0.348,1.0415,0.464,0.5275,0.399,1.018,0.288,0.421,0.631,0.551,1.0375,0.162,0.389,0.5445,0.4475,0.0715,0.8265,1.0685,0.668,0.807,1.2705,1.039,0.357,1.016,0.3345,0.7595,0.21,0.4405,0.2095,0.3915,0.368,0.385,0.704,0.1645,0.5675,0.2985,0.641,0.054,0.5475,0.3695,0.921
