plot,site,aspen_biomass,birch_biomass,ws_biomass,bs_biomass,balsamp_biomass,total_biomass,allbutaspen_biomass,relative_aspen_biomass,relative_allbutaspen_biomass,aspen_stems/ha,birch_stems/ha,ws_stems/ha,bs_stems/ha,balsamp_stems/ha,total_stems/ha,allbutaspen_stems/ha,relative_aspen_density,relative_allbutaspen_density,IV_aspen,IV_others,time period,year
10061,1021,66.97746605,47.54957472,3.62674402,NA,NA,118.1537848,51.17631874,56.6866869,43.3133131,741.315489,568.3418749,98.84206521,NA,NA,1408.499429,667.1839401,52.63157895,47.36842105,109.3182659,90.68173415,T1,1995
10061,1021,69.79573262,44.20655077,4.518829225,NA,NA,118.5211126,48.72538,58.88886046,41.11113954,667.1839401,469.4998097,98.84206521,NA,NA,1235.525815,568.3418749,54,46,112.8888605,87.11113954,T2,2000
10061,1021,66.903432,37.2434598,5.448516474,NA,NA,109.5954083,42.69197627,61.04583491,38.95416509,494.210326,395.3682608,98.84206521,NA,NA,988.420652,494.210326,50,50,111.0458349,88.95416509,T3,2005
10061,1021,66.91683173,39.03052744,6.723450254,NA,NA,112.6708094,45.75397769,59.3914538,40.6085462,444.7892934,345.9472282,98.84206521,NA,NA,889.5785868,444.7892934,50,50,109.3914538,90.6085462,T4,2010
10061,1021,66.60934864,40.87655003,8.768739908,NA,NA,116.2546386,49.64528994,57.29607821,42.70392179,420.0787771,345.9472282,98.84206521,NA,NA,864.8680705,444.7892934,48.57142857,51.42857143,105.8675068,94.13249322,T5,2015
10062,1021,113.8625866,0,0.362510942,NA,NA,114.2250975,0.362510942,99.6826346,0.317365404,1853.288723,0,24.7105163,NA,NA,1877.999239,24.7105163,98.68421053,1.315789473,198.3668451,1.633154877,T1,1995
10062,1021,121.2268648,0,0.847233262,NA,NA,122.0740981,0.847233262,99.30596803,0.694031965,1705.025625,0,49.4210326,NA,NA,1754.446658,49.4210326,97.18309859,2.816901408,196.4890666,3.510933373,T2,2000
10062,1021,120.4048041,0,1.512936208,NA,NA,121.9177403,1.512936208,98.75905163,1.240948367,1482.630978,0,74.1315489,NA,NA,1556.762527,74.1315489,95.23809524,4.761904762,193.9971469,6.002853129,T3,2005
10062,1021,115.5026058,0.531713134,2.303740857,NA,NA,118.3380598,2.835453991,97.6039374,2.396062599,1210.815299,24.7105163,74.1315489,NA,NA,1309.657364,98.8420652,92.45283019,7.54716981,190.0567676,9.943232409,T4,2010
10062,1021,106.3643575,1.282135164,4.751453498,NA,NA,112.3979462,6.033588662,94.63194047,5.368059531,988.4206521,49.4210326,123.5525815,NA,NA,1161.394266,172.9736141,85.10638298,14.89361702,179.7383234,20.26167655,T5,2015
10063,1021,62.28805414,NA,3.734323062,NA,NA,66.0223772,3.734323062,94.34385246,5.656147537,1803.86769,NA,98.84206521,NA,NA,1902.709755,98.84206521,94.8051948,5.194805195,189.1490473,10.85095273,T1,1995
10063,1021,70.72415959,NA,5.29073783,NA,NA,76.01489742,5.29073783,93.03986717,6.960132829,1853.288723,NA,123.5525815,NA,NA,1976.841305,123.5525815,93.75,6.249999998,186.7898672,13.21013283,T2,2000
10063,1021,73.70801268,NA,7.050078945,NA,NA,80.75809163,7.050078945,91.27012687,8.729873135,1803.86769,NA,123.5525815,NA,NA,1927.420272,123.5525815,93.58974359,6.41025641,184.8598705,15.14012954,T3,2005
10063,1021,75.79774207,NA,10.00417387,NA,NA,85.80191594,10.00417387,88.34038406,11.65961594,1705.025625,NA,148.2630978,NA,NA,1853.288723,148.2630978,92,7.999999999,180.3403841,19.65961594,T4,2010
10063,1021,72.52944661,NA,13.62077634,NA,NA,86.15022295,13.62077634,84.18950541,15.81049459,1309.657364,NA,172.9736141,NA,NA,1482.630978,172.9736141,88.33333333,11.66666667,172.5228387,27.47716126,T5,2015
10091,1031,88.0626427,NA,7.371806472,NA,1.626919356,97.06136853,8.998725828,90.72882861,9.271171388,1037.841685,NA,123.5525815,NA,24.7105163,1186.104783,148.2630978,87.5,12.5,178.2288286,21.77117138,T1,1997
10091,1031,94.41451375,NA,10.04353955,NA,1.755982735,106.214036,11.79952229,88.89080697,11.10919303,988.4206521,NA,172.9736141,NA,24.7105163,1186.104783,197.6841304,83.33333333,16.66666667,172.2241403,27.77585969,T2,2002
10091,1031,85.37299862,NA,13.34361538,NA,1.755982735,100.4725967,15.09959812,84.97142643,15.02857357,741.315489,NA,247.105163,NA,24.7105163,1013.131168,271.8156793,73.17073171,26.82926829,158.1421581,41.85784186,T3,2007
10091,1031,73.53578963,NA,18.1329243,NA,1.829341067,93.498055,19.96226537,78.64953943,21.35046057,617.7629075,NA,321.2367119,NA,24.7105163,963.7101357,345.9472282,64.1025641,35.8974359,142.7521035,57.24789647,T4,2012
10092,1031,97.77800039,NA,0.387543722,NA,4.676387331,102.8419314,5.063931053,95.0760055,4.923994505,1161.394266,NA,24.7105163,NA,49.4210326,1235.525815,74.1315489,94,6,189.0760055,10.92399451,T1,1997
10092,1031,97.65305936,NA,1.388254961,NA,4.917086197,103.9584005,6.305341158,93.93474589,6.065254108,1111.973234,NA,74.1315489,NA,49.4210326,1235.525816,123.5525815,90,9.999999996,183.9347459,16.0652541,T2,2002
10092,1031,97.39704486,NA,2.933238251,NA,3.083270017,103.4135531,6.016508268,94.18208921,5.817910792,963.7101358,NA,148.2630978,NA,24.7105163,1136.68375,172.9736141,84.7826087,15.2173913,178.9646979,21.0353021,T3,2007
10092,1031,94.65296106,NA,4.970281846,NA,3.128718092,102.751961,8.098999938,92.11791205,7.882087952,914.2891032,NA,172.9736141,NA,24.7105163,1111.973234,197.6841304,82.22222222,17.77777778,174.3401343,25.65986573,T4,2012
10093,1031,93.27016372,NA,15.1408176,NA,NA,108.4109813,15.1408176,86.03387091,13.96612909,1062.552201,NA,197.6841304,NA,NA,1260.236331,197.6841304,84.31372549,15.68627451,170.3475964,29.6524036,T1,1997
10093,1031,99.90804885,NA,17.98813998,NA,NA,117.8961888,17.98813998,84.74239061,15.25760939,1037.841685,NA,197.6841304,NA,NA,1235.525815,197.6841304,84.00000001,15.99999999,168.7423906,31.25760939,T2,2002
10093,1031,89.16019394,NA,20.93942128,NA,NA,110.0996152,20.93942128,80.9813856,19.0186144,840.1575543,NA,222.3946467,NA,NA,1062.552201,222.3946467,79.06976744,20.93023256,160.051153,39.94884696,T3,2007
10093,1031,81.23960026,NA,25.36387712,NA,NA,106.6034774,25.36387712,76.2072704,23.7927296,667.1839401,NA,247.105163,NA,NA,914.2891031,247.105163,72.97297297,27.02702703,149.1802434,50.81975663,T4,2012
10094,1032,68.84797953,NA,56.5368681,NA,NA,125.3848476,56.5368681,54.90932982,45.09067018,617.7629075,NA,420.0787771,NA,NA,1037.841685,420.0787771,59.52380952,40.47619048,114.4331393,85.56686066,T1,1997
10094,1032,74.29801889,NA,61.31593935,NA,NA,135.6139582,61.31593935,54.78640979,45.21359021,617.7629075,NA,444.7892934,NA,NA,1062.552201,444.7892934,58.13953488,41.86046512,112.9259447,87.07405533,T2,2002
10094,1032,75.35690801,NA,67.01568692,NA,NA,142.3725949,67.01568692,52.9293633,47.0706367,593.0523912,NA,444.7892934,NA,NA,1037.841685,444.7892934,57.14285714,42.85714286,110.0722204,89.92777956,T3,2007
10094,1032,49.96784286,NA,74.70846111,NA,NA,124.676304,74.70846111,40.07805916,59.92194084,321.2367119,NA,469.4998097,NA,NA,790.7365216,469.4998097,40.625,59.375,80.70305916,119.2969408,T4,2012
10095,1032,109.4244804,NA,1.070729649,NA,NA,110.49521,1.070729649,99.03097189,0.969028113,1606.18356,NA,49.4210326,NA,NA,1655.604593,49.4210326,97.01492537,2.985074626,196.0458973,3.954102739,T1,1997
10095,1032,115.2827976,NA,1.381431172,NA,NA,116.6642288,1.381431172,98.81589139,1.184108605,1581.473043,NA,49.4210326,NA,NA,1630.894076,49.4210326,96.96969697,3.030303031,195.7855884,4.214411636,T2,2002
10095,1032,87.73674339,NA,1.778690976,NA,NA,89.51543437,1.778690976,98.01297844,1.987021555,1013.131168,NA,49.4210326,NA,NA,1062.552201,49.4210326,95.34883721,4.651162792,193.3618157,6.638184347,T3,2007
10095,1032,75.38782554,NA,2.50240354,NA,NA,77.89022908,2.50240354,96.78726899,3.212731006,815.447038,NA,49.4210326,NA,NA,864.8680706,49.4210326,94.28571429,5.714285714,191.0729833,8.927016719,T4,2012
10096,1032,72.96431621,NA,62.03297732,NA,NA,134.9972935,62.03297732,54.0487252,45.9512748,815.447038,NA,815.447038,NA,NA,1630.894076,815.447038,50,50,104.0487252,95.9512748,T1,1997
10096,1032,76.03396781,NA,74.14686127,NA,NA,150.1808291,74.14686127,50.62827811,49.37172189,790.7365216,NA,963.7101358,NA,NA,1754.446657,963.7101358,45.07042253,54.92957747,95.69870064,104.3012994,T2,2002
10096,1032,77.14520687,NA,69.3819551,NA,NA,146.527162,69.3819551,52.64908283,47.35091717,766.0260053,NA,938.9996195,NA,NA,1705.025625,938.9996195,44.92753623,55.07246377,97.57661906,102.4233809,T3,2007
10096,1032,50.27918054,NA,78.25264798,NA,NA,128.5318285,78.25264798,39.11807769,60.88192231,494.210326,NA,938.9996195,NA,NA,1433.209946,938.9996195,34.48275862,65.51724138,73.60083631,126.3991637,T4,2012
10097,1033,62.89258135,NA,9.230414754,NA,NA,72.1229961,9.230414754,87.20184234,12.79815766,1383.788913,NA,420.0787771,NA,NA,1803.86769,420.0787771,76.71232877,23.28767123,163.9141711,36.0858289,T1,1997
10097,1033,54.71941988,NA,13.41814671,NA,NA,68.13756659,13.41814671,80.30727045,19.69272955,1037.841685,NA,518.9208423,NA,NA,1556.762527,518.9208423,66.66666668,33.33333332,146.9739371,53.02606287,T2,2002
10097,1033,47.53507428,NA,21.13861346,NA,NA,68.67368774,21.13861346,69.21875881,30.78124119,741.315489,NA,716.6049727,NA,NA,1457.920462,716.6049727,50.84745763,49.15254237,120.0662164,79.93378357,T3,2007
10097,1033,39.83817437,NA,27.2845699,NA,NA,67.12274427,27.2845699,59.35123005,40.64876995,593.0523912,NA,766.0260053,NA,NA,1359.078397,766.0260053,43.63636364,56.36363636,102.9875937,97.01240631,T4,2012
10098,1033,85.11329025,NA,6.138383754,NA,NA,91.251674,6.138383754,93.27312751,6.726872489,1803.86769,NA,271.8156793,NA,NA,2075.683369,271.8156793,86.90476191,13.09523809,180.1778894,19.82211058,T1,1997
10098,1033,77.16902049,NA,8.457437064,NA,NA,85.62645755,8.457437064,90.12286937,9.877130627,1383.788913,NA,296.5261956,NA,NA,1680.315109,296.5261956,82.35294118,17.64705882,172.4758106,27.52418945,T2,2002
10098,1033,66.08463613,NA,12.54404047,NA,NA,78.6286766,12.54404047,84.0464815,15.9535185,1037.841685,NA,321.2367119,NA,NA,1359.078397,321.2367119,76.36363637,23.63636363,160.4101179,39.58988213,T3,2007
10098,1033,49.26309525,NA,19.06669662,NA,NA,68.32979187,19.06669662,72.09607098,27.90392902,667.1839401,NA,395.3682608,NA,NA,1062.552201,395.3682608,62.79069767,37.20930233,134.8867687,65.11323134,T4,2012
10099,1033,77.35828309,NA,2.729134653,NA,NA,80.08741774,2.729134653,96.59230535,3.407694654,1729.736141,NA,123.5525815,NA,NA,1853.288723,123.5525815,93.33333333,6.666666667,189.9256387,10.07436132,T1,1997
10099,1033,67.60710769,NA,4.700406559,NA,NA,72.30751425,4.700406559,93.49942173,6.50057827,1284.946848,NA,172.9736141,NA,NA,1457.920462,172.9736141,88.13559322,11.86440678,181.635015,18.36498505,T2,2002
10099,1033,58.03003981,NA,7.957274483,NA,NA,65.98731429,7.957274483,87.94120572,12.05879428,1013.131168,NA,247.105163,NA,NA,1260.236331,247.105163,80.39215686,19.60784314,168.3333626,31.66663742,T3,2007
10099,1033,46.54185764,NA,14.29325826,NA,NA,60.8351159,14.29325826,76.50492146,23.49507854,691.8944564,NA,395.3682608,NA,NA,1087.262717,395.3682608,63.63636364,36.36363636,140.1412851,59.8587149,T4,2012
10199,1067,97.2577433,NA,12.15824488,NA,NA,109.4159882,12.15824488,88.88805459,11.11194541,3064.104021,NA,469.4998097,NA,NA,3533.603831,469.4998097,86.71328671,13.28671329,175.6013413,24.3986587,T1,1999
10199,1067,102.7725135,NA,15.95071517,NA,NA,118.7232287,15.95071517,86.56478993,13.43521007,2989.972472,NA,568.3418749,NA,NA,3558.314347,568.3418749,84.02777778,15.97222222,170.5925677,29.40743229,T2,2004
10199,1067,97.95081679,NA,20.92514233,NA,NA,118.8759591,20.92514233,82.39749863,17.60250137,2545.183179,NA,691.8944564,NA,NA,3237.077635,691.8944564,78.6259542,21.3740458,161.0234528,38.97654717,T3,2009
10199,1067,87.61927859,NA,27.30128033,NA,NA,114.9205589,27.30128033,76.24334533,23.75665467,2125.104402,NA,766.0260053,NA,NA,2891.130407,766.0260053,73.50427351,26.49572649,149.7476188,50.25238117,T4,2014
10200,1067,44.95015777,NA,18.25007382,NA,NA,63.20023159,18.25007382,71.12340673,28.87659327,1334.36788,NA,716.6049727,NA,NA,2050.972853,716.6049727,65.06024096,34.93975904,136.1836477,63.81635231,T1,1999
10200,1067,48.02911134,NA,24.80906061,NA,NA,72.83817195,24.80906061,65.93947933,34.06052067,1309.657364,NA,938.9996195,NA,NA,2248.656984,938.9996195,58.24175824,41.75824176,124.1812376,75.81876243,T2,2004
10200,1067,48.93309279,NA,31.06610373,NA,NA,79.99919652,31.06610373,61.16698032,38.83301968,1284.946848,NA,1062.552201,NA,NA,2347.499049,1062.552201,54.73684211,45.26315789,115.9038224,84.09617757,T3,2009
10200,1067,42.06788707,NA,40.24003352,NA,NA,82.30792059,40.24003352,51.11037525,48.88962475,938.9996195,NA,1186.104782,NA,NA,2125.104402,1186.104782,44.18604652,55.81395348,95.29642177,104.7035782,T4,2014
10201,1067,59.92823376,NA,3.520939723,NA,NA,63.44917348,3.520939723,94.45077133,5.549228666,2668.735761,NA,172.9736141,NA,NA,2841.709375,172.9736141,93.91304348,6.08695652,188.3638148,11.63618519,T1,1999
10201,1067,65.89922291,NA,5.229697406,NA,NA,71.12892032,5.229697406,92.64757938,7.352420623,2718.156793,NA,222.3946467,NA,NA,2940.55144,222.3946467,92.43697479,7.56302521,185.0845542,14.91544583,T2,2004
10201,1067,63.08294708,NA,8.05500863,NA,NA,71.13795571,8.05500863,88.6769186,11.3230814,2471.05163,NA,321.2367119,NA,NA,2792.288342,321.2367119,88.49557522,11.50442478,177.1724938,22.82750618,T3,2009
10201,1067,60.80724118,NA,14.18763956,NA,NA,74.99488074,14.18763956,81.08185596,18.91814404,2298.078016,NA,518.9208423,NA,NA,2816.998858,518.9208423,81.57894737,18.42105263,162.6608033,37.33919667,T4,2014
10233,1079,104.8301387,NA,9.783460637,NA,NA,114.6135993,9.783460637,91.46396179,8.536038213,1507.341494,NA,148.2630978,NA,NA,1655.604592,148.2630978,91.04477612,8.955223882,182.5087379,17.4912621,T1,2002
10233,1079,100.2963874,NA,11.37812851,NA,NA,111.6745159,11.37812851,89.81134736,10.18865264,1235.525815,NA,148.2630978,NA,NA,1383.788913,148.2630978,89.28571429,10.71428571,179.0970616,20.90293835,T2,2007
10233,1079,92.8198966,NA,13.46869766,NA,NA,106.2885943,13.46869766,87.32818159,12.67181841,938.9996195,NA,172.9736141,NA,NA,1111.973234,172.9736141,84.44444445,15.55555555,171.772626,28.22737397,T3,2012
10298,1101,117.9314543,NA,20.87633529,NA,4.141333817,142.9491234,25.01766911,82.49889995,17.50110005,593.0523912,NA,370.6577445,NA,74.1315489,1037.841685,444.7892934,57.14285714,42.85714286,139.6417571,60.35824291,T1,2000
10298,1101,95.18644449,NA,25.16323569,NA,4.362606989,124.7122872,29.52584268,76.32483266,23.67516734,469.4998097,NA,370.6577445,NA,74.1315489,914.2891031,444.7892934,51.35135135,48.64864865,127.676184,72.32381599,T2,2005
10298,1101,71.4696939,NA,29.29962776,NA,4.576760946,105.3460826,33.87638871,67.84276371,32.15723629,345.9472282,NA,420.0787771,NA,74.1315489,840.1575542,494.210326,41.17647059,58.82352941,109.0192343,90.9807657,T3,2010
10298,1101,53.80853548,NA,33.68485699,NA,5.021524148,92.51491662,38.70638114,58.16201046,41.83798954,271.8156793,NA,420.0787771,NA,74.1315489,766.0260053,494.210326,35.48387097,64.51612903,93.64588143,106.3541186,T4,2015
10299,1101,88.44475078,NA,12.69062415,NA,1.14451003,102.279885,13.83513418,86.47325993,13.52674007,494.210326,NA,172.9736141,NA,24.7105163,691.8944564,197.6841304,71.42857143,28.57142857,157.9018314,42.09816864,T1,2000
10299,1101,45.47215779,NA,13.86389561,NA,1.196968541,60.53302194,15.06086415,75.11958982,24.88041018,247.105163,NA,172.9736141,NA,24.7105163,444.7892934,197.6841304,55.55555556,44.44444444,130.6751454,69.32485462,T2,2005
10299,1101,25.21856546,NA,15.60151895,NA,1.300304544,42.12038895,16.90182349,59.87258448,40.12741552,98.84206521,NA,197.6841304,NA,24.7105163,321.2367119,222.3946467,30.76923077,69.23076923,90.64181525,109.3581847,T3,2010
10299,1101,19.54785342,NA,17.20079884,NA,1.373796477,38.12244874,18.57459532,51.27648949,48.72351051,74.1315489,NA,222.3946467,NA,24.7105163,321.2367119,247.105163,23.07692308,76.92307692,74.35341257,125.6465874,T4,2015
10300,1101,59.25825289,NA,3.966894739,NA,1.294745464,64.51989309,5.261640203,91.84493348,8.155066524,469.4998097,NA,172.9736141,NA,24.7105163,667.1839401,197.6841304,70.37037037,29.62962963,162.2153038,37.78469615,T1,2000
10300,1101,9.117809652,NA,4.758795086,NA,1.391079917,15.26768466,6.149875003,59.71966187,40.28033813,123.5525815,NA,197.6841304,NA,24.7105163,345.9472282,222.3946467,35.71428571,64.28571429,95.43394759,104.5660524,T2,2005
10300,1101,0,NA,5.44806108,NA,1.485320326,6.933381406,6.933381406,0,100,0,NA,197.6841304,NA,24.7105163,222.3946467,222.3946467,0,100,0,200,T3,2010
10300,1101,0,NA,6.27703025,NA,1.570645819,7.847676069,7.847676069,0,100,0,NA,222.3946467,NA,24.7105163,247.105163,247.105163,0,100,0,200,T4,2015
10307,1104,22.44370218,NA,30.89159794,0.290130514,NA,53.62543063,31.18172845,41.85272158,58.14727842,790.7365216,NA,172.9736141,24.7105163,NA,988.420652,197.6841304,80,20,121.8527216,78.14727842,T1,2000
10307,1104,19.37286507,NA,35.26052209,0.908096914,NA,55.54148407,36.168619,34.87999176,65.12000824,617.7629075,NA,172.9736141,74.1315489,NA,864.8680705,247.105163,71.42857143,28.57142857,106.3085632,93.69143681,T2,2005
10307,1104,7.380010535,NA,41.18651835,0.641179237,NA,49.20770812,41.82769759,14.99767174,85.00232826,148.2630978,NA,197.6841304,49.4210326,NA,395.3682608,247.105163,37.5,62.5,52.49767174,147.5023283,T3,2010
10307,1104,2.904592975,NA,46.71823039,1.010660027,NA,50.63348339,47.72889042,5.73650632,94.26349368,49.4210326,NA,197.6841304,74.1315489,NA,321.2367119,271.8156793,15.38461538,84.61538462,21.1211217,178.8788783,T4,2015
10308,1104,25.28742956,0.917301613,20.5978356,NA,NA,46.80256677,21.51513721,54.03000584,45.96999416,716.6049727,24.7105163,148.2630978,NA,NA,889.5785868,172.9736141,80.55555556,19.44444444,134.5855614,65.41443861,T1,2000
10308,1104,17.33801912,1.118544397,22.94066472,NA,NA,41.39722824,24.05920912,41.88207728,58.11792272,395.3682608,24.7105163,148.2630978,NA,NA,568.3418749,172.9736141,69.56521739,30.43478261,111.4472947,88.55270533,T2,2005
10308,1104,6.580180901,1.299536762,25.29718941,NA,NA,33.17690707,26.59672617,19.83361766,80.16638234,123.5525815,24.7105163,148.2630978,NA,NA,296.5261956,172.9736141,41.66666667,58.33333333,61.50028433,138.4997157,T3,2010
10308,1104,0,1.954833102,29.10364533,NA,NA,31.05847843,31.05847843,0,100,0,49.4210326,148.2630978,NA,NA,197.6841304,197.6841304,0,100,0,200,T4,2015
10309,1104,55.26221368,NA,36.65772625,0,NA,91.91993993,36.65772625,60.11994103,39.88005897,494.210326,NA,296.5261956,0,NA,790.7365216,296.5261956,62.5,37.5,122.619941,77.38005897,T1,2000
10309,1104,56.32284781,NA,42.24478057,0,NA,98.56762838,42.24478057,57.14132392,42.85867608,494.210326,NA,296.5261956,0,NA,790.7365216,296.5261956,62.5,37.5,119.6413239,80.35867608,T2,2005
10309,1104,44.29722394,NA,48.92534387,0,NA,93.22256781,48.92534387,47.51770411,52.48229589,345.9472282,NA,321.2367119,0,NA,667.1839401,321.2367119,51.85185185,48.14814815,99.36955597,100.630444,T3,2010
10309,1104,37.62265737,NA,57.70019736,0.33352021,NA,95.65637494,58.03371757,39.33105075,60.66894925,247.105163,NA,321.2367119,24.7105163,NA,593.0523912,345.9472282,41.66666667,58.33333333,80.99771741,119.0022826,T4,2015
