year,leafminer(ha),alm+prev
1892,NA,NA
1893,NA,NA
1894,NA,NA
1895,NA,NA
1896,NA,NA
1897,NA,NA
1898,NA,NA
1899,NA,NA
1900,NA,NA
1901,NA,NA
1902,NA,NA
1903,NA,NA
1904,NA,NA
1905,NA,NA
1906,NA,NA
1907,NA,NA
1908,NA,NA
1909,NA,NA
1910,NA,NA
1911,NA,NA
1912,NA,NA
1913,NA,NA
1914,NA,NA
1915,NA,NA
1916,NA,NA
1917,NA,NA
1918,NA,NA
1919,NA,NA
1920,NA,NA
1921,NA,NA
1922,NA,NA
1923,NA,NA
1924,NA,NA
1925,NA,NA
1926,NA,NA
1927,NA,NA
1928,NA,NA
1929,NA,NA
1930,NA,NA
1931,NA,NA
1932,NA,NA
1933,NA,NA
1934,NA,NA
1935,NA,NA
1936,NA,NA
1937,NA,NA
1938,NA,NA
1939,NA,NA
1940,NA,NA
1941,NA,NA
1942,NA,NA
1943,NA,NA
1944,NA,NA
1945,NA,NA
1946,NA,NA
1947,NA,NA
1948,NA,NA
1949,NA,NA
1950,NA,NA
1951,NA,NA
1952,NA,NA
1953,NA,NA
1954,NA,NA
1955,NA,NA
1956,NA,NA
1957,NA,NA
1958,NA,NA
1959,NA,NA
1960,NA,NA
1961,NA,NA
1962,NA,NA
1963,NA,NA
1964,NA,NA
1965,NA,NA
1966,NA,NA
1967,NA,NA
1968,NA,NA
1969,NA,NA
1970,NA,NA
1971,NA,NA
1972,NA,NA
1973,NA,NA
1974,NA,NA
1975,NA,NA
1976,NA,NA
1977,NA,NA
1978,NA,NA
1979,NA,NA
1980,NA,NA
1981,NA,NA
1982,NA,NA
1983,NA,NA
1984,NA,NA
1985,NA,NA
1986,NA,NA
1987,NA,NA
1988,NA,NA
1989,NA,NA
1990,NA,NA
1991,NA,NA
1992,NA,NA
1993,NA,NA
1994,NA,NA
1995,NA,NA
1996,NA,NA
1997,2063.8986,NA
1998,8862.6234,2063.8986
1999,5422.7924,8862.6234
2000,5099.0436,5422.7924
2001,3804.0484,5099.0436
2002,122174.7034,3804.0484
2003,142068.2578,122174.7034
2004,236500.9265,142068.2578
2005,266868.9686,236500.9265
2006,185254.3243,266868.9686
2007,305633.0312,185254.3243
2008,85050.4285,305633.0312
2009,125673.2139,85050.4285
2010,183539.6697,125673.2139
2011,56312.46159,183539.6697
2012,27926.1668,56312.46159
2013,40235.50086,27926.1668